# runs/wpo2/plt_b4_00820  t=0.000733959  level0=512x64
density                9e50a7b0dc406028  min=9.1193127939e+01 max=1.0059688077e+03 mean=5.4858096780e+02
xmom                   bd5e3bfd7d25ed15  min=0.0000000000e+00 max=8.8964591929e+03 mean=3.6697950000e+03
ymom                   8a39d2abd3999ab7  min=0.0000000000e+00 max=0.0000000000e+00 mean=0.0000000000e+00
rho_E                  469727dd4a02924c  min=-1.3150479389e+08 max=1.4086943633e+07 mean=-5.9027752882e+07
rho_e                  9accaaa30a873906  min=-1.3150479389e+08 max=1.4083129120e+07 mean=-5.9043996374e+07
Temp                   db8993132607818b  min=2.6625239067e+02 max=3.5375794463e+02 mean=3.0872337701e+02
alpha_1                15dac35158faabc3  min=1.0000000000e-06 max=9.9999900000e-01 mean=5.0660082190e-01
alpha1_rho1            24ae2a70fbd8e056  min=1.0059697224e-03 max=1.0059687165e+03 mean=5.0298486122e+02
alpha2_rho2            46e5d1a4d46e0a66  min=8.9663152290e-05 max=9.4306024669e+01 mean=4.5596106581e+01
alpha1_rho1_E1         d321c3299606525e  min=-1.3150480734e+08 max=-1.3150493885e+02 mean=-6.5786947278e+07
alpha2_rho2_E2         a92bea5b63c566d4  min=1.1436242257e+01 max=1.4087080287e+07 mean=6.7591943955e+06
pressure               7194449bb3b393c7  min=5.0000000000e+06 max=1.0000000000e+07 mean=5.6933862464e+06
x_velocity             a223a2746675e7ec  min=0.0000000000e+00 max=8.9944004393e+00 mean=5.2825792511e+00
y_velocity             8a39d2abd3999ab7  min=0.0000000000e+00 max=0.0000000000e+00 mean=0.0000000000e+00
# runs/wpo2/plt_cf_00410  t=0.000733959  level0=256x32
density                c7f0fcf8e2714153  min=9.1193127939e+01 max=1.0059688077e+03 mean=5.4858097371e+02
xmom                   bfb6b03810918709  min=0.0000000000e+00 max=8.9087160952e+03 mean=3.6697950000e+03
ymom                   de2f256064a0af79  min=0.0000000000e+00 max=0.0000000000e+00 mean=0.0000000000e+00
rho_E                  c8f4875944c7ba5b  min=-1.3150479389e+08 max=1.4087667009e+07 mean=-5.9027752882e+07
rho_e                  ef2edbcbfd41b323  min=-1.3150479389e+08 max=1.4083843746e+07 mean=-5.9043966585e+07
Temp                   0858ccbdcb05386a  min=2.6624708743e+02 max=3.5376117945e+02 mean=3.0872311820e+02
alpha_1                42d5f9b54779a4e9  min=1.0000000000e-06 max=1.0000000000e+00 mean=5.0659944923e-01
alpha1_rho1            db77a687d4b7b101  min=1.0059697224e-03 max=1.0059687165e+03 mean=5.0298486268e+02
alpha2_rho2            b6867ed47590c1b7  min=0.0000000000e+00 max=9.4309555385e+01 mean=4.5596111033e+01
alpha1_rho1_E1         cb7597f413fcbc8b  min=-1.3150480734e+08 max=-1.3150493885e+02 mean=-6.5786771985e+07
alpha2_rho2_E2         64ddd92405db28b2  min=0.0000000000e+00 max=1.4087802944e+07 mean=6.7590191027e+06
pressure               53a434a8a4df8296  min=5.0000000000e+06 max=1.0000000000e+07 mean=5.6937497717e+06
x_velocity             774d626a5f78c054  min=0.0000000000e+00 max=9.0070169201e+00 mean=5.2885695231e+00
y_velocity             de2f256064a0af79  min=0.0000000000e+00 max=0.0000000000e+00 mean=0.0000000000e+00
