panel,curve,x_m,value
T,theta=1e-4 s,2.8625,298.1799
T,theta=1e-4 s,2.8875,298.1799
T,theta=1e-4 s,2.9250,298.1799
T,theta=1e-4 s,2.9375,298.1344
T,theta=1e-4 s,2.9500,298.1344
T,theta=1e-4 s,2.9625,298.1344
T,theta=1e-4 s,2.9750,298.1344
T,theta=1e-4 s,2.9875,298.1344
T,theta=1e-4 s,3.0000,298.1344
T,theta=1e-4 s,3.0125,298.1344
T,theta=1e-4 s,3.0250,298.1344
T,theta=1e-4 s,3.0375,298.1344
T,theta=1e-4 s,3.0500,298.1344
T,theta=1e-4 s,3.0625,298.1572
T,theta=1e-4 s,3.3125,298.1344
T,theta=1e-4 s,3.3250,298.1344
T,theta=1e-4 s,3.3375,298.1572
T,theta=1e-4 s,3.3500,298.1344
T,theta=1e-4 s,3.3625,298.1344
T,theta=1e-4 s,3.3750,298.1344
T,theta=1e-4 s,3.3875,298.1344
T,theta=1e-4 s,3.4000,298.1344
T,theta=1e-4 s,3.4125,298.1344
T,theta=1e-4 s,3.4250,298.1344
T,theta=1e-4 s,3.4375,298.1344
T,theta=1e-4 s,3.4500,298.1116
T,theta=1e-4 s,3.4625,298.1344
T,theta=1e-4 s,3.4750,298.1116
T,theta=1e-4 s,3.4875,298.1116
T,theta=1e-4 s,3.5000,298.1116
T,theta=1e-4 s,3.5125,298.1116
T,theta=1e-4 s,3.5250,298.1116
T,theta=1e-4 s,3.7500,297.7247
T,theta=1e-4 s,3.7625,297.7019
T,theta=1e-4 s,3.7750,297.6564
T,theta=1e-4 s,3.7875,297.5881
T,theta=1e-4 s,3.8000,297.5426
T,theta=1e-4 s,3.8125,297.4970
T,theta=1e-4 s,3.8250,297.4515
T,theta=1e-4 s,3.8375,297.3605
T,theta=1e-4 s,3.8500,297.3149
T,theta=1e-4 s,3.8625,297.2467
T,theta=1e-4 s,3.8750,297.1784
T,theta=1e-4 s,3.8875,297.1101
T,theta=1e-4 s,3.9875,296.2451
T,theta=1e-4 s,4.0000,296.2223
T,theta=1e-4 s,4.0125,296.0858
T,theta=1e-4 s,4.0250,295.9492
T,theta=1e-4 s,4.0375,295.8354
T,theta=1e-4 s,4.0500,295.6988
T,theta=1e-4 s,4.0625,295.6078
T,theta=1e-4 s,4.0750,295.5622
T,theta=1e-4 s,4.1375,294.6062
T,theta=1e-4 s,4.1500,294.6062
T,theta=1e-4 s,4.1625,294.3786
T,theta=1e-4 s,4.1750,294.2420
T,theta=1e-4 s,4.1875,294.1282
T,theta=1e-4 s,4.2625,292.9673
T,theta=1e-4 s,4.2750,292.8763
T,theta=1e-4 s,4.2875,292.7169
T,theta=1e-4 s,4.3000,292.5348
T,theta=1e-4 s,4.3125,292.3527
T,theta=1e-4 s,4.3250,292.2617
T,theta=1e-4 s,4.3750,291.3512
T,theta=1e-4 s,4.3875,291.2601
T,theta=1e-4 s,4.4000,291.1236
T,theta=1e-4 s,4.4125,290.9415
T,theta=1e-4 s,4.4250,290.8049
T,theta=1e-4 s,4.4375,290.6683
T,theta=1e-4 s,4.4500,290.5773
T,theta=1e-4 s,4.5000,289.6668
T,theta=1e-4 s,4.5125,289.5757
T,theta=1e-4 s,4.5250,289.4164
T,theta=1e-4 s,4.5375,289.2798
T,theta=1e-4 s,4.5500,289.1205
T,theta=1e-4 s,4.5625,289.0066
T,theta=1e-4 s,4.6375,288.0051
T,theta=1e-4 s,4.6500,287.8913
T,theta=1e-4 s,4.6625,287.7547
T,theta=1e-4 s,4.6750,287.6181
T,theta=1e-4 s,4.6875,287.4816
T,theta=1e-4 s,4.7000,287.3905
T,theta=1e-4 s,4.7125,287.3222
T,theta=1e-4 s,4.8000,286.4573
T,theta=1e-4 s,4.8125,286.4117
T,theta=1e-4 s,4.8250,286.3207
T,theta=1e-4 s,4.8375,286.2524
T,theta=1e-4 s,4.8500,286.1613
T,theta=1e-4 s,4.8625,286.0931
T,theta=1e-4 s,4.8750,286.0248
T,theta=1e-4 s,4.8875,285.9792
T,theta=1e-4 s,4.9000,285.9110
T,theta=1e-4 s,4.9125,285.8427
T,theta=1e-4 s,4.9250,285.8199
T,theta=1e-4 s,5.1500,285.4557
T,theta=1e-4 s,5.1625,285.4557
T,theta=1e-4 s,5.1750,285.4557
T,theta=1e-4 s,5.1875,285.4329
T,theta=1e-4 s,5.2000,285.4329
T,theta=1e-4 s,5.2125,285.4329
T,theta=1e-4 s,5.2250,285.4329
T,theta=1e-4 s,5.2375,285.4329
T,theta=1e-4 s,5.2500,285.4329
T,theta=1e-4 s,5.2625,285.4329
T,theta=1e-4 s,5.2750,285.4329
T,theta=1e-4 s,5.2875,285.4329
T,theta=1e-4 s,5.3000,285.4329
T,theta=1e-4 s,5.3125,285.4329
T,theta=1e-4 s,5.3250,285.4102
T,theta=1e-4 s,5.3375,285.4329
T,theta=1e-4 s,5.3500,285.4102
T,theta=1e-4 s,5.3625,285.4329
T,theta=1e-4 s,5.6250,285.4329
T,theta=1e-4 s,5.6375,285.4329
T,theta=1e-4 s,5.6500,285.4329
T,theta=1e-4 s,5.6625,285.4329
T,theta=1e-4 s,5.6750,285.4329
T,theta=1e-4 s,5.6875,285.4329
T,theta=1e-4 s,5.8375,285.4329
T,theta=1e-4 s,6.3000,285.4329
T,theta=1e-4 s,6.7750,285.4329
T,theta=1e-4 s,7.2375,285.4557
T,theta=1e-4 s,7.2500,285.4329
T,theta=1e-4 s,7.7125,285.4329
T,theta=1e-4 s,8.0000,285.4785
T,theta=1e-4 s,8.0375,285.4785
T,theta=1e-4 s,8.0625,285.4557
T,theta=1e-4 s,8.0750,285.4329
T,theta=1e-4 s,8.0875,285.4329
T,theta=1e-4 s,8.1000,285.4557
T,theta=1e-4 s,8.1125,285.4329
T,theta=1e-4 s,8.1250,285.4329
T,theta=1e-4 s,8.1375,285.4329
T,theta=1e-4 s,8.1500,285.4329
T,theta=1e-4 s,8.1625,285.4329
T,theta=1e-4 s,8.1750,285.4329
T,theta=1e-4 s,8.1875,285.4329
T,theta=1e-4 s,8.4375,285.4329
T,theta=1e-4 s,8.4500,285.4102
T,theta=1e-4 s,8.4625,285.4329
T,theta=1e-4 s,8.4750,285.4102
T,theta=1e-4 s,8.4875,285.4329
T,theta=1e-4 s,8.5000,285.4329
T,theta=1e-4 s,8.5125,285.4102
T,theta=1e-4 s,8.5250,285.4329
T,theta=1e-4 s,8.5375,285.4329
T,theta=1e-4 s,8.5500,285.4329
T,theta=1e-4 s,8.5625,285.4329
T,theta=1e-4 s,8.5750,285.4329
T,theta=1e-4 s,8.5875,285.4102
T,theta=1e-4 s,8.6000,285.4102
T,theta=1e-4 s,8.6125,285.4102
T,theta=1e-4 s,8.6250,285.4102
T,theta=1e-4 s,8.6375,285.4102
T,theta=1e-4 s,8.6500,285.3874
T,theta=1e-4 s,8.7625,284.5907
T,theta=1e-4 s,8.7750,284.4314
T,theta=1e-4 s,8.7875,284.1127
T,theta=1e-4 s,8.8000,283.9534
T,theta=1e-4 s,8.8125,282.7470
T,theta=1e-4 s,8.8250,282.4966
T,theta=1e-4 s,8.8375,280.8577
T,theta=1e-4 s,8.8500,280.5390
T,theta=1e-4 s,8.8625,279.1505
T,theta=1e-4 s,8.8750,277.3523
