# x rho u P T
0.0000000000e+00 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
1.2515644556e-03 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
2.5031289111e-03 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
3.7546933667e-03 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
5.0062578223e-03 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
6.2578222778e-03 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
7.5093867334e-03 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
8.7609511890e-03 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
1.0012515645e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
1.1264080100e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
1.2515644556e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
1.3767209011e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
1.5018773467e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
1.6270337922e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
1.7521902378e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
1.8773466834e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
2.0025031289e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
2.1276595745e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
2.2528160200e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
2.3779724656e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
2.5031289111e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
2.6282853567e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
2.7534418023e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
2.8785982478e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
3.0037546934e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
3.1289111389e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
3.2540675845e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
3.3792240300e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
3.5043804756e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
3.6295369212e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
3.7546933667e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
3.8798498123e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
4.0050062578e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
4.1301627034e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
4.2553191489e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
4.3804755945e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
4.5056320401e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
4.6307884856e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
4.7559449312e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
4.8811013767e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
5.0062578223e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
5.1314142678e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
5.2565707134e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
5.3817271589e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
5.5068836045e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
5.6320400501e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
5.7571964956e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
5.8823529412e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
6.0075093867e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
6.1326658323e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
6.2578222778e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
6.3829787234e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
6.5081351690e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
6.6332916145e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
6.7584480601e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
6.8836045056e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
7.0087609512e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
7.1339173967e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
7.2590738423e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
7.3842302879e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
7.5093867334e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
7.6345431790e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
7.7596996245e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
7.8848560701e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
8.0100125156e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
8.1351689612e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
8.2603254068e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
8.3854818523e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
8.5106382979e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
8.6357947434e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
8.7609511890e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
8.8861076345e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
9.0112640801e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
9.1364205257e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
9.2615769712e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
9.3867334168e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
9.5118898623e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
9.6370463079e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
9.7622027534e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
9.8873591990e-02 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
1.0012515645e-01 6.2153158530e+02 0.0000000000e+00 1.0000000000e+07 3.1000000000e+02
1.0137672090e-01 6.2078486526e+02 3.8373110674e-01 9.9239147048e+06 3.0979015151e+02
1.0262828536e-01 6.2003525200e+02 7.6866853890e-01 9.8478294102e+06 3.0957941506e+02
1.0387984981e-01 6.1928271887e+02 1.1548224178e+00 9.7717441164e+06 3.0936778197e+02
1.0513141427e-01 6.1852723884e+02 1.5422030072e+00 9.6956588233e+06 3.0915524343e+02
1.0638297872e-01 6.1776878448e+02 1.9308207159e+00 9.6195735308e+06 3.0894179051e+02
1.0763454318e-01 6.1700732792e+02 2.3206861008e+00 9.5434882392e+06 3.0872741410e+02
1.0888610763e-01 6.1624284088e+02 2.7118098697e+00 9.4674029482e+06 3.0851210497e+02
1.1013767209e-01 6.1547529462e+02 3.1042028848e+00 9.3913176580e+06 3.0829585376e+02
1.1138923655e-01 6.1470465999e+02 3.4978761652e+00 9.3152323686e+06 3.0807865092e+02
1.1264080100e-01 6.1393090734e+02 3.8928408907e+00 9.2391470799e+06 3.0786048678e+02
1.1389236546e-01 6.1315400660e+02 4.2891084047e+00 9.1630617921e+06 3.0764135149e+02
1.1514392991e-01 6.1237392718e+02 4.6866902180e+00 9.0869765050e+06 3.0742123505e+02
1.1639549437e-01 6.1159063804e+02 5.0855980119e+00 9.0108912188e+06 3.0720012730e+02
1.1764705882e-01 6.1080410762e+02 5.4858436418e+00 8.9348059334e+06 3.0697801791e+02
1.1889862328e-01 6.1001430386e+02 5.8874391414e+00 8.8587206489e+06 3.0675489636e+02
1.2015018773e-01 6.0961816431e+02 6.0887469024e+00 8.8206780070e+06 3.0664295270e+02
1.2140175219e-01 6.0882338927e+02 6.4923901679e+00 8.7445927238e+06 3.0641829285e+02
1.2265331665e-01 6.0802525844e+02 6.8974141902e+00 8.6685074415e+06 3.0619259380e+02
1.2390488110e-01 6.0722373787e+02 7.3038316563e+00 8.5924221601e+06 3.0596584442e+02
1.2515644556e-01 6.0641879307e+02 7.7116554487e+00 8.5163368796e+06 3.0573803338e+02
1.2640801001e-01 6.0561038896e+02 8.1208986501e+00 8.4402516000e+06 3.0550914916e+02
1.2765957447e-01 6.0479848987e+02 8.5315745475e+00 8.3641663215e+06 3.0527918002e+02
1.2891113892e-01 6.0398305955e+02 8.9436966374e+00 8.2880810439e+06 3.0504811405e+02
1.3016270338e-01 6.0357400867e+02 9.1503042803e+00 8.2500384055e+06 3.0493216596e+02
1.3141426783e-01 6.0275321213e+02 9.5646214329e+00 8.1739531294e+06 3.0469943191e+02
1.3266583229e-01 6.0192879094e+02 9.9804194638e+00 8.0978678544e+06 3.0446557026e+02
1.3391739675e-01 6.0110070662e+02 1.0397712639e+01 8.0217825804e+06 3.0423056835e+02
1.3516896120e-01 6.0026891999e+02 1.0816515454e+01 7.9456973075e+06 3.0399441325e+02
1.3642052566e-01 5.9943339120e+02 1.1236842643e+01 7.8696120357e+06 3.0375709181e+02
1.3767209011e-01 5.9901421085e+02 1.1447582547e+01 7.8315694002e+06 3.0363798955e+02
1.3892365457e-01 5.9817299255e+02 1.1870224452e+01 7.7554841300e+06 3.0339889345e+02
1.4017521902e-01 5.9732792934e+02 1.2294428633e+01 7.6793988610e+06 3.0315859709e+02
