# x rho u P T
0.0000000000e+00 9.5185543456e+02 0.0000000000e+00 1.2000000000e+07 2.8000000000e+02
2.5062656642e-03 9.5185543456e+02 0.0000000000e+00 1.2000000000e+07 2.8000000000e+02
5.0125313283e-03 9.5185543456e+02 0.0000000000e+00 1.2000000000e+07 2.8000000000e+02
7.5187969925e-03 9.5185543456e+02 0.0000000000e+00 1.2000000000e+07 2.8000000000e+02
1.0025062657e-02 9.5185543456e+02 0.0000000000e+00 1.2000000000e+07 2.8000000000e+02
1.2531328321e-02 9.5185543456e+02 0.0000000000e+00 1.2000000000e+07 2.8000000000e+02
1.5037593985e-02 9.5185543456e+02 0.0000000000e+00 1.2000000000e+07 2.8000000000e+02
1.7543859649e-02 9.5185543456e+02 0.0000000000e+00 1.2000000000e+07 2.8000000000e+02
2.0050125313e-02 9.5127491055e+02 3.7514982650e-01 1.1780483758e+07 2.7984279014e+02
2.2556390977e-02 9.5045666433e+02 9.0252515189e-01 1.1473161021e+07 2.7962164576e+02
2.5062656642e-02 9.4951348674e+02 1.5083859044e+00 1.1121935039e+07 2.7936738276e+02
2.7568922306e-02 9.4868100864e+02 2.0413190079e+00 1.0814612308e+07 2.7914354130e+02
3.0075187970e-02 9.4772117558e+02 2.6536556331e+00 1.0463386333e+07 2.7888613497e+02
3.2581453634e-02 9.4687376825e+02 3.1923677017e+00 1.0156063609e+07 2.7865948785e+02
3.5087719298e-02 9.4601913844e+02 3.7338570702e+00 9.8487408875e+06 2.7843149197e+02
3.7593984962e-02 9.4515711436e+02 4.2781775057e+00 9.5414181698e+06 2.7820212095e+02
4.0100250627e-02 9.4428751706e+02 4.8253847691e+00 9.2340954558e+06 2.7797134747e+02
4.2606516291e-02 9.4341016001e+02 5.3755367263e+00 8.9267727455e+06 2.7773914318e+02
4.5112781955e-02 9.4252484860e+02 5.9286934676e+00 8.6194500393e+06 2.7750547864e+02
4.7619047619e-02 9.4163137968e+02 6.4849174369e+00 8.3121273374e+06 2.7727032329e+02
5.0125313283e-02 9.4072954099e+02 7.0442735692e+00 8.0048046400e+06 2.7703364533e+02
5.2631578947e-02 9.3981911055e+02 7.6068294411e+00 7.6974819473e+06 2.7679541170e+02
5.5137844612e-02 9.3903172748e+02 8.0916201887e+00 7.4340625004e+06 2.7658994720e+02
5.7644110276e-02 9.3810471628e+02 8.6603074043e+00 7.1267398172e+06 2.7634873202e+02
6.0150375940e-02 9.3730275483e+02 9.1504637928e+00 6.8633203789e+06 2.7614065800e+02
6.2656641604e-02 9.3635828830e+02 9.7255448119e+00 6.5559977063e+06 2.7589633292e+02
