# case=A1-Sod-strong
# t=1.174295e-03 s     P_star=6.457650e+05 Pa   u_star=6.232429e+02 m/s
# S_L_head= -340.038  S_L_tail= +372.124  S_contact= +623.243  S_R_tail= +826.498  S_R_head= +826.498 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,113.244371,0.0000,100.000000
0.002500,113.244371,0.0000,100.000000
0.005000,113.244371,0.0000,100.000000
0.007500,113.244371,0.0000,100.000000
0.010000,113.244371,0.0000,100.000000
0.012500,113.244371,0.0000,100.000000
0.015000,113.244371,0.0000,100.000000
0.017500,113.244371,0.0000,100.000000
0.020000,113.244371,0.0000,100.000000
0.022500,113.244371,0.0000,100.000000
0.025000,113.244371,0.0000,100.000000
0.027500,113.244371,0.0000,100.000000
0.030000,113.244371,0.0000,100.000000
0.032500,113.244371,0.0000,100.000000
0.035000,113.244371,0.0000,100.000000
0.037500,113.244371,0.0000,100.000000
0.040000,113.244371,0.0000,100.000000
0.042500,113.244371,0.0000,100.000000
0.045000,113.244371,0.0000,100.000000
0.047500,113.244371,0.0000,100.000000
0.050000,113.244371,0.0000,100.000000
0.052500,113.244371,0.0000,100.000000
0.055000,113.244371,0.0000,100.000000
0.057500,113.244371,0.0000,100.000000
0.060000,113.244371,0.0000,100.000000
0.062500,113.244371,0.0000,100.000000
0.065000,113.244371,0.0000,100.000000
0.067500,113.244371,0.0000,100.000000
0.070000,113.244371,0.0000,100.000000
0.072500,113.244371,0.0000,100.000000
0.075000,113.244371,0.0000,100.000000
0.077500,113.244371,0.0000,100.000000
0.080000,113.244371,0.0000,100.000000
0.082500,113.244371,0.0000,100.000000
0.085000,113.244371,0.0000,100.000000
0.087500,113.244371,0.0000,100.000000
0.090000,113.244371,0.0000,100.000000
0.092500,113.244371,0.0000,100.000000
0.095000,113.244371,0.0000,100.000000
0.097500,113.244371,0.0000,100.000000
0.100000,113.244371,0.0000,100.000000
0.102500,112.816945,1.2855,99.506150
0.105000,112.227009,3.0666,98.825737
0.107500,111.638933,4.8485,98.148857
0.110000,111.053376,6.6314,97.476251
0.112500,110.469762,8.4151,96.807245
0.115000,109.888448,10.1998,96.142231
0.117500,109.309311,11.9853,95.481054
0.120000,108.732188,13.7717,94.823513
0.122500,108.157539,15.5591,94.170118
0.125000,107.584802,17.3473,93.520213
0.127500,107.014399,19.1364,92.874263
0.130000,106.446172,20.9264,92.232076
0.132500,105.879879,22.7172,91.593362
0.135000,105.316122,24.5089,90.958787
0.137500,104.754356,26.3015,90.327722
0.140000,104.194582,28.0949,89.700154
0.142500,103.637345,29.8893,89.076680
0.145000,103.082071,31.6845,88.456643
0.147500,102.528766,33.4805,87.840037
0.150000,101.978027,35.2774,87.227512
0.152500,101.429268,37.0751,86.618403
0.155000,100.882495,38.8737,86.012702
0.157500,100.338092,40.6731,85.410822
0.160000,99.795865,42.4734,84.812534
0.162500,99.255637,44.2745,84.217629
0.165000,98.717433,46.0763,83.626122
0.167500,98.181745,47.8791,83.038539
0.170000,97.648068,49.6827,82.454314
0.172500,97.116408,51.4871,81.873439
0.175000,96.586770,53.2922,81.295908
0.177500,96.059620,55.0983,80.722215
0.180000,95.534515,56.9051,80.151864
0.182500,95.011441,58.7127,79.584827
0.185000,94.490402,60.5211,79.021097
0.187500,93.971518,62.3303,78.460791
0.190000,93.454986,64.1404,77.904109
0.192500,92.940495,65.9512,77.350701
0.195000,92.428048,67.7628,76.800558
0.197500,91.917650,69.5751,76.253675
0.200000,91.409305,71.3882,75.710041
0.202500,90.903222,73.2021,75.169869
0.205000,90.399361,75.0168,74.633096
0.207500,89.897517,76.8322,74.099537
0.210000,89.397704,78.6485,73.569132
0.212500,88.899990,80.4655,73.041951
0.215000,88.404303,82.2832,72.517947
0.217500,87.910687,84.1016,71.997124
0.220000,87.419135,85.9208,71.479466
0.222500,86.929843,87.7408,70.965171
0.225000,86.442656,89.5615,70.454061
0.227500,85.957521,91.3830,69.946071
0.230000,85.474439,93.2052,69.441189
0.232500,84.993409,95.0281,68.939406
