# case=A2-Sod-weak
# t=1.176988e-03 s     P_star=1.221789e+06 Pa   u_star=5.582311e+01 m/s
# S_L_head= -339.479  S_L_tail= -277.368  S_contact=  +55.823  S_R_tail= +372.252  S_R_head= +372.252 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,16.073396,0.0000,15.000000
0.002500,16.073396,0.0000,15.000000
0.005000,16.073396,0.0000,15.000000
0.007500,16.073396,0.0000,15.000000
0.010000,16.073396,0.0000,15.000000
0.012500,16.073396,0.0000,15.000000
0.015000,16.073396,0.0000,15.000000
0.017500,16.073396,0.0000,15.000000
0.020000,16.073396,0.0000,15.000000
0.022500,16.073396,0.0000,15.000000
0.025000,16.073396,0.0000,15.000000
0.027500,16.073396,0.0000,15.000000
0.030000,16.073396,0.0000,15.000000
0.032500,16.073396,0.0000,15.000000
0.035000,16.073396,0.0000,15.000000
0.037500,16.073396,0.0000,15.000000
0.040000,16.073396,0.0000,15.000000
0.042500,16.073396,0.0000,15.000000
0.045000,16.073396,0.0000,15.000000
0.047500,16.073396,0.0000,15.000000
0.050000,16.073396,0.0000,15.000000
0.052500,16.073396,0.0000,15.000000
0.055000,16.073396,0.0000,15.000000
0.057500,16.073396,0.0000,15.000000
0.060000,16.073396,0.0000,15.000000
0.062500,16.073396,0.0000,15.000000
0.065000,16.073396,0.0000,15.000000
0.067500,16.073396,0.0000,15.000000
0.070000,16.073396,0.0000,15.000000
0.072500,16.073396,0.0000,15.000000
0.075000,16.073396,0.0000,15.000000
0.077500,16.073396,0.0000,15.000000
0.080000,16.073396,0.0000,15.000000
0.082500,16.073396,0.0000,15.000000
0.085000,16.073396,0.0000,15.000000
0.087500,16.073396,0.0000,15.000000
0.090000,16.073396,0.0000,15.000000
0.092500,16.073396,0.0000,15.000000
0.095000,16.073396,0.0000,15.000000
0.097500,16.073396,0.0000,15.000000
0.100000,16.073396,0.0000,15.000000
0.102500,15.998961,1.5754,14.914262
0.105000,15.909180,3.4842,14.810965
0.107500,15.819843,5.3930,14.708311
0.110000,15.730952,7.3019,14.606300
0.112500,15.642503,9.2108,14.504924
0.115000,15.554495,11.1197,14.404181
0.117500,15.466925,13.0287,14.304067
0.120000,15.379793,14.9376,14.204581
0.122500,15.293096,16.8466,14.105718
0.125000,15.206832,18.7556,14.007473
0.127500,15.120999,20.6646,13.909845
0.130000,15.035596,22.5736,13.812829
0.132500,14.950620,24.4826,13.716421
0.135000,14.866071,26.3916,13.620620
0.137500,14.781944,28.3007,13.525419
0.140000,14.698242,30.2097,13.430820
0.142500,14.614960,32.1188,13.336816
0.145000,14.532096,34.0279,13.243403
0.147500,14.449647,35.9369,13.150578
0.150000,14.367616,37.8460,13.058342
0.152500,14.285997,39.7551,12.966685
0.155000,14.204790,41.6642,12.875609
0.157500,14.123992,43.5733,12.785108
0.160000,14.043603,45.4824,12.695180
0.162500,13.963618,47.3915,12.605820
0.165000,13.884040,49.3006,12.517028
0.167500,13.804863,51.2097,12.428798
0.170000,13.726088,53.1189,12.341128
0.172500,13.647712,55.0280,12.254015
0.175000,13.615184,55.8231,12.217894
0.177500,13.615184,55.8231,12.217894
0.180000,13.615184,55.8231,12.217894
0.182500,13.615184,55.8231,12.217894
0.185000,13.615184,55.8231,12.217894
0.187500,13.615184,55.8231,12.217894
0.190000,13.615184,55.8231,12.217894
0.192500,13.615184,55.8231,12.217894
0.195000,13.615184,55.8231,12.217894
0.197500,13.615184,55.8231,12.217894
0.200000,13.615184,55.8231,12.217894
0.202500,13.615184,55.8231,12.217894
0.205000,13.615184,55.8231,12.217894
0.207500,13.615184,55.8231,12.217894
0.210000,13.615184,55.8231,12.217894
0.212500,13.615184,55.8231,12.217894
0.215000,13.615184,55.8231,12.217894
0.217500,13.615184,55.8231,12.217894
0.220000,13.615184,55.8231,12.217894
0.222500,13.615184,55.8231,12.217894
0.225000,13.615184,55.8231,12.217894
0.227500,13.615184,55.8231,12.217894
0.230000,13.615184,55.8231,12.217894
0.232500,13.615184,55.8231,12.217894
0.235000,13.615184,55.8231,12.217894
0.237500,13.615184,55.8231,12.217894
0.240000,13.615184,55.8231,12.217894
0.242500,13.615184,55.8231,12.217894
0.245000,13.615184,55.8231,12.217894
0.247500,13.615184,55.8231,12.217894
0.250000,13.615184,55.8231,12.217894
0.252500,13.615184,55.8231,12.217894
0.255000,13.615184,55.8231,12.217894
0.257500,13.615184,55.8231,12.217894
0.260000,13.615184,55.8231,12.217894
0.262500,13.615184,55.8231,12.217894
0.265000,13.615184,55.8231,12.217894
0.267500,13.615184,55.8231,12.217894
0.270000,13.615184,55.8231,12.217894
0.272500,13.615184,55.8231,12.217894
0.275000,13.615184,55.8231,12.217894
0.277500,13.615184,55.8231,12.217894
0.280000,13.615184,55.8231,12.217894
0.282500,13.615184,55.8231,12.217894
0.285000,13.615184,55.8231,12.217894
0.287500,13.615184,55.8231,12.217894
0.290000,13.615184,55.8231,12.217894
0.292500,13.615184,55.8231,12.217894
0.295000,13.615184,55.8231,12.217894
0.297500,13.615184,55.8231,12.217894
0.300000,13.615184,55.8231,12.217894
0.302500,13.615184,55.8231,12.217894
0.305000,13.615184,55.8231,12.217894
0.307500,13.615184,55.8231,12.217894
0.310000,13.615184,55.8231,12.217894
0.312500,13.615184,55.8231,12.217894
