# case=A4-Double-rare
# t=6.801122e-04 s     P_star=1.886984e+06 Pa   u_star=0.000000e+00 m/s
# S_L_head= -588.138  S_L_tail= -306.051  S_contact=   +0.000  S_R_tail= +306.051  S_R_head= +588.138 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,54.976163,-250.0000,50.000000
0.002500,54.976163,-250.0000,50.000000
0.005000,54.976163,-250.0000,50.000000
0.007500,54.976163,-250.0000,50.000000
0.010000,54.976163,-250.0000,50.000000
0.012500,54.976163,-250.0000,50.000000
0.015000,54.976163,-250.0000,50.000000
0.017500,54.976163,-250.0000,50.000000
0.020000,54.976163,-250.0000,50.000000
0.022500,54.976163,-250.0000,50.000000
0.025000,54.976163,-250.0000,50.000000
0.027500,54.976163,-250.0000,50.000000
0.030000,54.976163,-250.0000,50.000000
0.032500,54.976163,-250.0000,50.000000
0.035000,54.976163,-250.0000,50.000000
0.037500,54.976163,-250.0000,50.000000
0.040000,54.976163,-250.0000,50.000000
0.042500,54.976163,-250.0000,50.000000
0.045000,54.976163,-250.0000,50.000000
0.047500,54.976163,-250.0000,50.000000
0.050000,54.976163,-250.0000,50.000000
0.052500,54.976163,-250.0000,50.000000
0.055000,54.976163,-250.0000,50.000000
0.057500,54.976163,-250.0000,50.000000
0.060000,54.976163,-250.0000,50.000000
0.062500,54.976163,-250.0000,50.000000
0.065000,54.976163,-250.0000,50.000000
0.067500,54.976163,-250.0000,50.000000
0.070000,54.976163,-250.0000,50.000000
0.072500,54.976163,-250.0000,50.000000
0.075000,54.976163,-250.0000,50.000000
0.077500,54.976163,-250.0000,50.000000
0.080000,54.976163,-250.0000,50.000000
0.082500,54.976163,-250.0000,50.000000
0.085000,54.976163,-250.0000,50.000000
0.087500,54.976163,-250.0000,50.000000
0.090000,54.976163,-250.0000,50.000000
0.092500,54.976163,-250.0000,50.000000
0.095000,54.976163,-250.0000,50.000000
0.097500,54.976163,-250.0000,50.000000
0.100000,54.976163,-250.0000,50.000000
0.102500,54.453493,-246.7718,49.403182
0.105000,53.934926,-243.5426,48.812616
0.107500,53.420431,-240.3122,48.228235
0.110000,52.909976,-237.0808,47.649972
0.112500,52.403613,-233.8483,47.077858
0.115000,51.901274,-230.6148,46.511784
0.117500,51.402878,-227.3802,45.951631
0.120000,50.908562,-224.1446,45.397523
0.122500,50.418125,-220.9081,44.849207
0.125000,49.931697,-217.6705,44.306800
0.127500,49.449105,-214.4319,43.770081
0.130000,48.970509,-211.1924,43.239198
0.132500,48.495719,-207.9519,42.713915
0.135000,48.024798,-204.7105,42.194274
0.137500,47.557744,-201.4682,41.680247
0.140000,47.094463,-198.2249,41.171702
0.142500,46.634946,-194.9808,40.668602
0.145000,46.179252,-191.7357,40.170990
0.147500,45.727309,-188.4898,39.678757
0.150000,45.279076,-185.2430,39.191836
0.152500,44.834540,-181.9954,38.710185
0.155000,44.393683,-178.7469,38.233761
0.157500,43.956486,-175.4977,37.762520
