# case=A5-Two-shock
# t=6.801122e-04 s     P_star=1.201148e+07 Pa   u_star=0.000000e+00 m/s
# S_L_head= -260.147  S_L_tail= -260.147  S_contact=   +0.000  S_R_tail= +260.147  S_R_head= +260.147 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,54.976163,250.0000,50.000000
0.002500,54.976163,250.0000,50.000000
0.005000,54.976163,250.0000,50.000000
0.007500,54.976163,250.0000,50.000000
0.010000,54.976163,250.0000,50.000000
0.012500,54.976163,250.0000,50.000000
0.015000,54.976163,250.0000,50.000000
0.017500,54.976163,250.0000,50.000000
0.020000,54.976163,250.0000,50.000000
0.022500,54.976163,250.0000,50.000000
0.025000,54.976163,250.0000,50.000000
0.027500,54.976163,250.0000,50.000000
0.030000,54.976163,250.0000,50.000000
0.032500,54.976163,250.0000,50.000000
0.035000,54.976163,250.0000,50.000000
0.037500,54.976163,250.0000,50.000000
0.040000,54.976163,250.0000,50.000000
0.042500,54.976163,250.0000,50.000000
0.045000,54.976163,250.0000,50.000000
0.047500,54.976163,250.0000,50.000000
0.050000,54.976163,250.0000,50.000000
0.052500,54.976163,250.0000,50.000000
0.055000,54.976163,250.0000,50.000000
0.057500,54.976163,250.0000,50.000000
0.060000,54.976163,250.0000,50.000000
0.062500,54.976163,250.0000,50.000000
0.065000,54.976163,250.0000,50.000000
0.067500,54.976163,250.0000,50.000000
0.070000,54.976163,250.0000,50.000000
0.072500,54.976163,250.0000,50.000000
0.075000,54.976163,250.0000,50.000000
0.077500,54.976163,250.0000,50.000000
0.080000,54.976163,250.0000,50.000000
0.082500,54.976163,250.0000,50.000000
0.085000,54.976163,250.0000,50.000000
0.087500,54.976163,250.0000,50.000000
0.090000,54.976163,250.0000,50.000000
0.092500,54.976163,250.0000,50.000000
0.095000,54.976163,250.0000,50.000000
0.097500,54.976163,250.0000,50.000000
0.100000,54.976163,250.0000,50.000000
0.102500,54.976163,250.0000,50.000000
0.105000,54.976163,250.0000,50.000000
0.107500,54.976163,250.0000,50.000000
0.110000,54.976163,250.0000,50.000000
0.112500,54.976163,250.0000,50.000000
0.115000,54.976163,250.0000,50.000000
0.117500,54.976163,250.0000,50.000000
0.120000,54.976163,250.0000,50.000000
0.122500,54.976163,250.0000,50.000000
0.125000,54.976163,250.0000,50.000000
0.127500,54.976163,250.0000,50.000000
0.130000,54.976163,250.0000,50.000000
0.132500,54.976163,250.0000,50.000000
0.135000,54.976163,250.0000,50.000000
0.137500,54.976163,250.0000,50.000000
0.140000,54.976163,250.0000,50.000000
0.142500,54.976163,250.0000,50.000000
0.145000,54.976163,250.0000,50.000000
0.147500,54.976163,250.0000,50.000000
0.150000,54.976163,250.0000,50.000000
0.152500,54.976163,250.0000,50.000000
0.155000,54.976163,250.0000,50.000000
0.157500,54.976163,250.0000,50.000000
0.160000,54.976163,250.0000,50.000000
0.162500,54.976163,250.0000,50.000000
0.165000,54.976163,250.0000,50.000000
