# case=A6-Near-vacuum
# t=1.173983e-03 s     P_star=6.119347e+04 Pa   u_star=9.385902e+02 m/s
# S_L_head= -338.138  S_L_tail= +723.354  S_contact= +938.590  S_R_tail=+1131.031  S_R_head=+1131.031 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,54.976163,0.0000,50.000000
0.002500,54.976163,0.0000,50.000000
0.005000,54.976163,0.0000,50.000000
0.007500,54.976163,0.0000,50.000000
0.010000,54.976163,0.0000,50.000000
0.012500,54.976163,0.0000,50.000000
0.015000,54.976163,0.0000,50.000000
0.017500,54.976163,0.0000,50.000000
0.020000,54.976163,0.0000,50.000000
0.022500,54.976163,0.0000,50.000000
0.025000,54.976163,0.0000,50.000000
0.027500,54.976163,0.0000,50.000000
0.030000,54.976163,0.0000,50.000000
0.032500,54.976163,0.0000,50.000000
0.035000,54.976163,0.0000,50.000000
0.037500,54.976163,0.0000,50.000000
0.040000,54.976163,0.0000,50.000000
0.042500,54.976163,0.0000,50.000000
0.045000,54.976163,0.0000,50.000000
0.047500,54.976163,0.0000,50.000000
0.050000,54.976163,0.0000,50.000000
0.052500,54.976163,0.0000,50.000000
0.055000,54.976163,0.0000,50.000000
0.057500,54.976163,0.0000,50.000000
0.060000,54.976163,0.0000,50.000000
0.062500,54.976163,0.0000,50.000000
0.065000,54.976163,0.0000,50.000000
0.067500,54.976163,0.0000,50.000000
0.070000,54.976163,0.0000,50.000000
0.072500,54.976163,0.0000,50.000000
0.075000,54.976163,0.0000,50.000000
0.077500,54.976163,0.0000,50.000000
0.080000,54.976163,0.0000,50.000000
0.082500,54.976163,0.0000,50.000000
0.085000,54.976163,0.0000,50.000000
0.087500,54.976163,0.0000,50.000000
0.090000,54.976163,0.0000,50.000000
0.092500,54.976163,0.0000,50.000000
0.095000,54.976163,0.0000,50.000000
0.097500,54.976163,0.0000,50.000000
0.100000,54.976163,0.0000,50.000000
0.102500,54.976163,0.0000,50.000000
0.105000,54.737263,1.4724,49.727013
0.107500,54.435116,3.3427,49.382228
0.110000,54.134202,5.2134,49.039376
0.112500,53.834785,7.0844,48.698751
0.115000,53.536706,8.9558,48.360169
0.117500,53.239868,10.8276,48.023512
0.120000,52.944615,12.6997,47.689164
0.122500,52.650598,14.5722,47.356726
0.125000,52.357863,16.4450,47.026241
0.127500,52.066660,18.3182,46.697989
0.130000,51.776696,20.1917,46.371631
0.132500,51.487978,22.0656,46.047171
0.135000,51.200812,23.9398,45.724948
0.137500,50.914885,25.8144,45.404602
0.140000,50.630197,27.6892,45.086131
