# case=B10-Cross-critical-hot
# t=7.339590e-04 s     P_star=3.169259e+06 Pa   u_star=1.305067e+01 m/s
# S_L_head= -544.990  S_L_tail= -495.227  S_contact=  +13.051  S_R_tail= +306.697  S_R_head= +306.697 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,1005.963554,0.0000,100.000000
0.002500,1005.963554,0.0000,100.000000
0.005000,1005.963554,0.0000,100.000000
0.007500,1005.963554,0.0000,100.000000
0.010000,1005.963554,0.0000,100.000000
0.012500,1005.963554,0.0000,100.000000
0.015000,1005.963554,0.0000,100.000000
0.017500,1005.963554,0.0000,100.000000
0.020000,1005.963554,0.0000,100.000000
0.022500,1005.963554,0.0000,100.000000
0.025000,1005.963554,0.0000,100.000000
0.027500,1005.963554,0.0000,100.000000
0.030000,1005.963554,0.0000,100.000000
0.032500,1005.963554,0.0000,100.000000
0.035000,1005.963554,0.0000,100.000000
0.037500,1005.963554,0.0000,100.000000
0.040000,1005.963554,0.0000,100.000000
0.042500,1005.963554,0.0000,100.000000
0.045000,1005.963554,0.0000,100.000000
0.047500,1005.963554,0.0000,100.000000
0.050000,1005.963554,0.0000,100.000000
0.052500,1005.963554,0.0000,100.000000
0.055000,1005.963554,0.0000,100.000000
0.057500,1005.963554,0.0000,100.000000
0.060000,1005.963554,0.0000,100.000000
0.062500,1005.963554,0.0000,100.000000
0.065000,1005.963554,0.0000,100.000000
0.067500,1005.963554,0.0000,100.000000
0.070000,1005.963554,0.0000,100.000000
0.072500,1005.963554,0.0000,100.000000
0.075000,1005.963554,0.0000,100.000000
0.077500,1005.963554,0.0000,100.000000
0.080000,1005.963554,0.0000,100.000000
0.082500,1005.963554,0.0000,100.000000
0.085000,1005.963554,0.0000,100.000000
0.087500,1005.963554,0.0000,100.000000
0.090000,1005.963554,0.0000,100.000000
0.092500,1005.963554,0.0000,100.000000
0.095000,1005.963554,0.0000,100.000000
0.097500,1005.963554,0.0000,100.000000
0.100000,1005.963554,0.0000,100.000000
0.102500,1004.316808,0.8908,95.131492
0.105000,1002.664311,1.7821,90.291078
0.107500,1001.006055,2.6737,85.478828
0.110000,999.342029,3.5658,80.694810
0.112500,997.672068,4.4582,75.939424
0.115000,995.996609,5.3511,71.211881
0.117500,994.315225,6.2443,66.512728
0.120000,992.628018,7.1378,61.842255
0.122500,990.934986,8.0317,57.200307
0.125000,989.236118,8.9258,52.586949
0.127500,987.531412,9.8203,48.002257
0.130000,985.820855,10.7150,43.446282
0.132500,984.104434,11.6100,38.919071
0.135000,982.382143,12.5052,34.420693
0.137500,981.329327,13.0507,31.692589
0.140000,981.329327,13.0507,31.692589
0.142500,981.329327,13.0507,31.692589
0.145000,981.329327,13.0507,31.692589
0.147500,981.329327,13.0507,31.692589
0.150000,981.329327,13.0507,31.692589
0.152500,981.329327,13.0507,31.692589
0.155000,981.329327,13.0507,31.692589
0.157500,981.329327,13.0507,31.692589
0.160000,981.329327,13.0507,31.692589
0.162500,981.329327,13.0507,31.692589
0.165000,981.329327,13.0507,31.692589
0.167500,981.329327,13.0507,31.692589
0.170000,981.329327,13.0507,31.692589
0.172500,981.329327,13.0507,31.692589
0.175000,981.329327,13.0507,31.692589
0.177500,981.329327,13.0507,31.692589
0.180000,981.329327,13.0507,31.692589
0.182500,981.329327,13.0507,31.692589
0.185000,981.329327,13.0507,31.692589
0.187500,981.329327,13.0507,31.692589
0.190000,981.329327,13.0507,31.692589
0.192500,981.329327,13.0507,31.692589
0.195000,981.329327,13.0507,31.692589
0.197500,981.329327,13.0507,31.692589
0.200000,981.329327,13.0507,31.692589
0.202500,981.329327,13.0507,31.692589
0.205000,981.329327,13.0507,31.692589
0.207500,981.329327,13.0507,31.692589
0.210000,981.329327,13.0507,31.692589
0.212500,981.329327,13.0507,31.692589
0.215000,981.329327,13.0507,31.692589
0.217500,981.329327,13.0507,31.692589
0.220000,981.329327,13.0507,31.692589
0.222500,981.329327,13.0507,31.692589
0.225000,981.329327,13.0507,31.692589
0.227500,981.329327,13.0507,31.692589
0.230000,981.329327,13.0507,31.692589
0.232500,981.329327,13.0507,31.692589
0.235000,981.329327,13.0507,31.692589
0.237500,981.329327,13.0507,31.692589
0.240000,981.329327,13.0507,31.692589
0.242500,981.329327,13.0507,31.692589
0.245000,981.329327,13.0507,31.692589
0.247500,981.329327,13.0507,31.692589
0.250000,981.329327,13.0507,31.692589
0.252500,981.329327,13.0507,31.692589
0.255000,981.329327,13.0507,31.692589
0.257500,981.329327,13.0507,31.692589
0.260000,981.329327,13.0507,31.692589
0.262500,981.329327,13.0507,31.692589
0.265000,981.329327,13.0507,31.692589
0.267500,981.329327,13.0507,31.692589
0.270000,981.329327,13.0507,31.692589
0.272500,981.329327,13.0507,31.692589
0.275000,981.329327,13.0507,31.692589
0.277500,981.329327,13.0507,31.692589
0.280000,981.329327,13.0507,31.692589
0.282500,981.329327,13.0507,31.692589
0.285000,981.329327,13.0507,31.692589
0.287500,981.329327,13.0507,31.692589
0.290000,981.329327,13.0507,31.692589
0.292500,981.329327,13.0507,31.692589
0.295000,981.329327,13.0507,31.692589
0.297500,981.329327,13.0507,31.692589
0.300000,981.329327,13.0507,31.692589
0.302500,981.329327,13.0507,31.692589
0.305000,981.329327,13.0507,31.692589
0.307500,981.329327,13.0507,31.692589
0.310000,981.329327,13.0507,31.692589
0.312500,981.329327,13.0507,31.692589
0.315000,981.329327,13.0507,31.692589
0.317500,981.329327,13.0507,31.692589
0.320000,981.329327,13.0507,31.692589
0.322500,981.329327,13.0507,31.692589
0.325000,981.329327,13.0507,31.692589
0.327500,981.329327,13.0507,31.692589
0.330000,981.329327,13.0507,31.692589
0.332500,981.329327,13.0507,31.692589
0.335000,981.329327,13.0507,31.692589
0.337500,981.329327,13.0507,31.692589
0.340000,981.329327,13.0507,31.692589
0.342500,981.329327,13.0507,31.692589
0.345000,981.329327,13.0507,31.692589
0.347500,981.329327,13.0507,31.692589
0.350000,981.329327,13.0507,31.692589
0.352500,981.329327,13.0507,31.692589
0.355000,981.329327,13.0507,31.692589
0.357500,981.329327,13.0507,31.692589
0.360000,981.329327,13.0507,31.692589
0.362500,981.329327,13.0507,31.692589
0.365000,981.329327,13.0507,31.692589
0.367500,981.329327,13.0507,31.692589
0.370000,981.329327,13.0507,31.692589
0.372500,981.329327,13.0507,31.692589
0.375000,981.329327,13.0507,31.692589
0.377500,981.329327,13.0507,31.692589
0.380000,981.329327,13.0507,31.692589
0.382500,981.329327,13.0507,31.692589
0.385000,981.329327,13.0507,31.692589
0.387500,981.329327,13.0507,31.692589
0.390000,981.329327,13.0507,31.692589
0.392500,981.329327,13.0507,31.692589
0.395000,981.329327,13.0507,31.692589
0.397500,981.329327,13.0507,31.692589
0.400000,981.329327,13.0507,31.692589
0.402500,981.329327,13.0507,31.692589
0.405000,981.329327,13.0507,31.692589
0.407500,981.329327,13.0507,31.692589
0.410000,981.329327,13.0507,31.692589
0.412500,981.329327,13.0507,31.692589
0.415000,981.329327,13.0507,31.692589
0.417500,981.329327,13.0507,31.692589
0.420000,981.329327,13.0507,31.692589
0.422500,981.329327,13.0507,31.692589
0.425000,981.329327,13.0507,31.692589
0.427500,981.329327,13.0507,31.692589
0.430000,981.329327,13.0507,31.692589
0.432500,981.329327,13.0507,31.692589
0.435000,981.329327,13.0507,31.692589
0.437500,981.329327,13.0507,31.692589
0.440000,981.329327,13.0507,31.692589
0.442500,981.329327,13.0507,31.692589
0.445000,981.329327,13.0507,31.692589
0.447500,981.329327,13.0507,31.692589
0.450000,981.329327,13.0507,31.692589
0.452500,981.329327,13.0507,31.692589
0.455000,981.329327,13.0507,31.692589
0.457500,981.329327,13.0507,31.692589
0.460000,981.329327,13.0507,31.692589
0.462500,981.329327,13.0507,31.692589
0.465000,981.329327,13.0507,31.692589
0.467500,981.329327,13.0507,31.692589
0.470000,981.329327,13.0507,31.692589
0.472500,981.329327,13.0507,31.692589
0.475000,981.329327,13.0507,31.692589
0.477500,981.329327,13.0507,31.692589
0.480000,981.329327,13.0507,31.692589
0.482500,981.329327,13.0507,31.692589
0.485000,981.329327,13.0507,31.692589
0.487500,981.329327,13.0507,31.692589
0.490000,981.329327,13.0507,31.692589
0.492500,981.329327,13.0507,31.692589
0.495000,981.329327,13.0507,31.692589
0.497500,981.329327,13.0507,31.692589
0.500000,981.329327,13.0507,31.692589
0.502500,981.329327,13.0507,31.692589
0.505000,981.329327,13.0507,31.692589
0.507500,981.329327,13.0507,31.692589
0.510000,44.168786,13.0507,31.692589
0.512500,44.168786,13.0507,31.692589
0.515000,44.168786,13.0507,31.692589
0.517500,44.168786,13.0507,31.692589
0.520000,44.168786,13.0507,31.692589
0.522500,44.168786,13.0507,31.692589
0.525000,44.168786,13.0507,31.692589
0.527500,44.168786,13.0507,31.692589
0.530000,44.168786,13.0507,31.692589
0.532500,44.168786,13.0507,31.692589
0.535000,44.168786,13.0507,31.692589
0.537500,44.168786,13.0507,31.692589
0.540000,44.168786,13.0507,31.692589
0.542500,44.168786,13.0507,31.692589
0.545000,44.168786,13.0507,31.692589
0.547500,44.168786,13.0507,31.692589
0.550000,44.168786,13.0507,31.692589
0.552500,44.168786,13.0507,31.692589
0.555000,44.168786,13.0507,31.692589
0.557500,44.168786,13.0507,31.692589
0.560000,44.168786,13.0507,31.692589
0.562500,44.168786,13.0507,31.692589
0.565000,44.168786,13.0507,31.692589
0.567500,44.168786,13.0507,31.692589
0.570000,44.168786,13.0507,31.692589
0.572500,44.168786,13.0507,31.692589
0.575000,44.168786,13.0507,31.692589
0.577500,44.168786,13.0507,31.692589
0.580000,44.168786,13.0507,31.692589
0.582500,44.168786,13.0507,31.692589
0.585000,44.168786,13.0507,31.692589
0.587500,44.168786,13.0507,31.692589
0.590000,44.168786,13.0507,31.692589
0.592500,44.168786,13.0507,31.692589
0.595000,44.168786,13.0507,31.692589
0.597500,44.168786,13.0507,31.692589
0.600000,44.168786,13.0507,31.692589
0.602500,44.168786,13.0507,31.692589
0.605000,44.168786,13.0507,31.692589
0.607500,44.168786,13.0507,31.692589
0.610000,44.168786,13.0507,31.692589
0.612500,44.168786,13.0507,31.692589
0.615000,44.168786,13.0507,31.692589
0.617500,44.168786,13.0507,31.692589
0.620000,44.168786,13.0507,31.692589
0.622500,44.168786,13.0507,31.692589
0.625000,44.168786,13.0507,31.692589
0.627500,44.168786,13.0507,31.692589
0.630000,44.168786,13.0507,31.692589
0.632500,44.168786,13.0507,31.692589
0.635000,44.168786,13.0507,31.692589
0.637500,44.168786,13.0507,31.692589
0.640000,44.168786,13.0507,31.692589
0.642500,44.168786,13.0507,31.692589
0.645000,44.168786,13.0507,31.692589
0.647500,44.168786,13.0507,31.692589
0.650000,44.168786,13.0507,31.692589
0.652500,44.168786,13.0507,31.692589
0.655000,44.168786,13.0507,31.692589
0.657500,44.168786,13.0507,31.692589
0.660000,44.168786,13.0507,31.692589
0.662500,44.168786,13.0507,31.692589
0.665000,44.168786,13.0507,31.692589
0.667500,44.168786,13.0507,31.692589
0.670000,44.168786,13.0507,31.692589
0.672500,44.168786,13.0507,31.692589
0.675000,44.168786,13.0507,31.692589
0.677500,44.168786,13.0507,31.692589
0.680000,44.168786,13.0507,31.692589
0.682500,44.168786,13.0507,31.692589
0.685000,44.168786,13.0507,31.692589
0.687500,44.168786,13.0507,31.692589
0.690000,44.168786,13.0507,31.692589
0.692500,44.168786,13.0507,31.692589
0.695000,44.168786,13.0507,31.692589
0.697500,44.168786,13.0507,31.692589
0.700000,44.168786,13.0507,31.692589
0.702500,44.168786,13.0507,31.692589
0.705000,44.168786,13.0507,31.692589
0.707500,44.168786,13.0507,31.692589
0.710000,44.168786,13.0507,31.692589
0.712500,44.168786,13.0507,31.692589
0.715000,44.168786,13.0507,31.692589
0.717500,44.168786,13.0507,31.692589
0.720000,44.168786,13.0507,31.692589
0.722500,44.168786,13.0507,31.692589
0.725000,44.168786,13.0507,31.692589
0.727500,42.289300,0.0000,30.000000
0.730000,42.289300,0.0000,30.000000
0.732500,42.289300,0.0000,30.000000
