# case=B2-Evap-wave
# t=6.867567e-04 s     P_star=8.352381e+05 Pa   u_star=1.013566e+02 m/s
# S_L_head= -582.448  S_L_tail=  +34.806  S_contact= +101.357  S_R_tail= +311.284  S_R_head= +311.284 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,1051.512613,0.0000,80.000000
0.002500,1051.512613,0.0000,80.000000
0.005000,1051.512613,0.0000,80.000000
0.007500,1051.512613,0.0000,80.000000
0.010000,1051.512613,0.0000,80.000000
0.012500,1051.512613,0.0000,80.000000
0.015000,1051.512613,0.0000,80.000000
0.017500,1051.512613,0.0000,80.000000
0.020000,1051.512613,0.0000,80.000000
0.022500,1051.512613,0.0000,80.000000
0.025000,1051.512613,0.0000,80.000000
0.027500,1051.512613,0.0000,80.000000
0.030000,1051.512613,0.0000,80.000000
0.032500,1051.512613,0.0000,80.000000
0.035000,1051.512613,0.0000,80.000000
0.037500,1051.512613,0.0000,80.000000
0.040000,1051.512613,0.0000,80.000000
0.042500,1051.512613,0.0000,80.000000
0.045000,1051.512613,0.0000,80.000000
0.047500,1051.512613,0.0000,80.000000
0.050000,1051.512613,0.0000,80.000000
0.052500,1051.512613,0.0000,80.000000
0.055000,1051.512613,0.0000,80.000000
0.057500,1051.512613,0.0000,80.000000
0.060000,1051.512613,0.0000,80.000000
0.062500,1051.512613,0.0000,80.000000
0.065000,1051.512613,0.0000,80.000000
0.067500,1051.512613,0.0000,80.000000
0.070000,1051.512613,0.0000,80.000000
0.072500,1051.512613,0.0000,80.000000
0.075000,1051.512613,0.0000,80.000000
0.077500,1051.512613,0.0000,80.000000
0.080000,1051.512613,0.0000,80.000000
0.082500,1051.512613,0.0000,80.000000
0.085000,1051.512613,0.0000,80.000000
0.087500,1051.512613,0.0000,80.000000
0.090000,1051.512613,0.0000,80.000000
0.092500,1051.512613,0.0000,80.000000
0.095000,1051.512613,0.0000,80.000000
0.097500,1051.512613,0.0000,80.000000
0.100000,1051.512613,0.0000,80.000000
0.102500,1049.895735,0.8942,74.540653
0.105000,1048.272443,1.7888,69.112866
0.107500,1046.642766,2.6839,63.716190
0.110000,1045.007990,3.5800,58.347872
