# case=B3-Sat-LV-contact
# t=6.811637e-04 s     P_star=1.770703e+06 Pa   u_star=-4.072615e-08 m/s
# S_L_head= -587.230  S_L_tail= -587.230  S_contact=   -0.000  S_R_tail= +204.156  S_R_head= +204.156 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,1069.534242,0.0000,17.707031
0.002500,1069.534242,0.0000,17.707031
0.005000,1069.534242,0.0000,17.707031
0.007500,1069.534242,0.0000,17.707031
0.010000,1069.534242,0.0000,17.707031
0.012500,1069.534242,0.0000,17.707031
0.015000,1069.534242,0.0000,17.707031
0.017500,1069.534242,0.0000,17.707031
0.020000,1069.534242,0.0000,17.707031
0.022500,1069.534242,0.0000,17.707031
0.025000,1069.534242,0.0000,17.707031
0.027500,1069.534242,0.0000,17.707031
0.030000,1069.534242,0.0000,17.707031
0.032500,1069.534242,0.0000,17.707031
0.035000,1069.534242,0.0000,17.707031
0.037500,1069.534242,0.0000,17.707031
0.040000,1069.534242,0.0000,17.707031
0.042500,1069.534242,0.0000,17.707031
0.045000,1069.534242,0.0000,17.707031
0.047500,1069.534242,0.0000,17.707031
0.050000,1069.534242,0.0000,17.707031
0.052500,1069.534242,0.0000,17.707031
0.055000,1069.534242,0.0000,17.707031
0.057500,1069.534242,0.0000,17.707031
0.060000,1069.534242,0.0000,17.707031
0.062500,1069.534242,0.0000,17.707031
0.065000,1069.534242,0.0000,17.707031
0.067500,1069.534242,0.0000,17.707031
0.070000,1069.534242,0.0000,17.707031
0.072500,1069.534242,0.0000,17.707031
0.075000,1069.534242,0.0000,17.707031
0.077500,1069.534242,0.0000,17.707031
0.080000,1069.534242,0.0000,17.707031
0.082500,1069.534242,0.0000,17.707031
0.085000,1069.534242,0.0000,17.707031
0.087500,1069.534242,0.0000,17.707031
0.090000,1069.534242,0.0000,17.707031
0.092500,1069.534242,0.0000,17.707031
0.095000,1069.534242,0.0000,17.707031
0.097500,1069.534242,0.0000,17.707031
0.100000,1069.534103,0.0000,17.707031
0.102500,1069.534103,-0.0000,17.707031
0.105000,1069.534103,-0.0000,17.707031
0.107500,1069.534103,-0.0000,17.707031
0.110000,1069.534103,-0.0000,17.707031
0.112500,1069.534103,-0.0000,17.707031
0.115000,1069.534103,-0.0000,17.707031
0.117500,1069.534103,-0.0000,17.707031
0.120000,1069.534103,-0.0000,17.707031
0.122500,1069.534103,-0.0000,17.707031
0.125000,1069.534103,-0.0000,17.707031
0.127500,1069.534103,-0.0000,17.707031
0.130000,1069.534103,-0.0000,17.707031
0.132500,1069.534103,-0.0000,17.707031
0.135000,1069.534103,-0.0000,17.707031
0.137500,1069.534103,-0.0000,17.707031
0.140000,1069.534103,-0.0000,17.707031
0.142500,1069.534103,-0.0000,17.707031
0.145000,1069.534103,-0.0000,17.707031
0.147500,1069.534103,-0.0000,17.707031
0.150000,1069.534103,-0.0000,17.707031
0.152500,1069.534103,-0.0000,17.707031
0.155000,1069.534103,-0.0000,17.707031
0.157500,1069.534103,-0.0000,17.707031
0.160000,1069.534103,-0.0000,17.707031
0.162500,1069.534103,-0.0000,17.707031
0.165000,1069.534103,-0.0000,17.707031
0.167500,1069.534103,-0.0000,17.707031
0.170000,1069.534103,-0.0000,17.707031
0.172500,1069.534103,-0.0000,17.707031
0.175000,1069.534103,-0.0000,17.707031
0.177500,1069.534103,-0.0000,17.707031
0.180000,1069.534103,-0.0000,17.707031
0.182500,1069.534103,-0.0000,17.707031
0.185000,1069.534103,-0.0000,17.707031
0.187500,1069.534103,-0.0000,17.707031
0.190000,1069.534103,-0.0000,17.707031
0.192500,1069.534103,-0.0000,17.707031
0.195000,1069.534103,-0.0000,17.707031
0.197500,1069.534103,-0.0000,17.707031
0.200000,1069.534103,-0.0000,17.707031
0.202500,1069.534103,-0.0000,17.707031
0.205000,1069.534103,-0.0000,17.707031
0.207500,1069.534103,-0.0000,17.707031
0.210000,1069.534103,-0.0000,17.707031
0.212500,1069.534103,-0.0000,17.707031
0.215000,1069.534103,-0.0000,17.707031
0.217500,1069.534103,-0.0000,17.707031
0.220000,1069.534103,-0.0000,17.707031
0.222500,1069.534103,-0.0000,17.707031
0.225000,1069.534103,-0.0000,17.707031
0.227500,1069.534103,-0.0000,17.707031
0.230000,1069.534103,-0.0000,17.707031
0.232500,1069.534103,-0.0000,17.707031
0.235000,1069.534103,-0.0000,17.707031
0.237500,1069.534103,-0.0000,17.707031
0.240000,1069.534103,-0.0000,17.707031
0.242500,1069.534103,-0.0000,17.707031
0.245000,1069.534103,-0.0000,17.707031
0.247500,1069.534103,-0.0000,17.707031
0.250000,1069.534103,-0.0000,17.707031
0.252500,1069.534103,-0.0000,17.707031
0.255000,1069.534103,-0.0000,17.707031
0.257500,1069.534103,-0.0000,17.707031
0.260000,1069.534103,-0.0000,17.707031
0.262500,1069.534103,-0.0000,17.707031
0.265000,1069.534103,-0.0000,17.707031
0.267500,1069.534103,-0.0000,17.707031
0.270000,1069.534103,-0.0000,17.707031
0.272500,1069.534103,-0.0000,17.707031
0.275000,1069.534103,-0.0000,17.707031
0.277500,1069.534103,-0.0000,17.707031
0.280000,1069.534103,-0.0000,17.707031
0.282500,1069.534103,-0.0000,17.707031
0.285000,1069.534103,-0.0000,17.707031
0.287500,1069.534103,-0.0000,17.707031
0.290000,1069.534103,-0.0000,17.707031
0.292500,1069.534103,-0.0000,17.707031
0.295000,1069.534103,-0.0000,17.707031
0.297500,1069.534103,-0.0000,17.707031
0.300000,1069.534103,-0.0000,17.707031
0.302500,1069.534103,-0.0000,17.707031
0.305000,1069.534103,-0.0000,17.707031
0.307500,1069.534103,-0.0000,17.707031
0.310000,1069.534103,-0.0000,17.707031
0.312500,1069.534103,-0.0000,17.707031
0.315000,1069.534103,-0.0000,17.707031
0.317500,1069.534103,-0.0000,17.707031
0.320000,1069.534103,-0.0000,17.707031
0.322500,1069.534103,-0.0000,17.707031
0.325000,1069.534103,-0.0000,17.707031
0.327500,1069.534103,-0.0000,17.707031
0.330000,1069.534103,-0.0000,17.707031
0.332500,1069.534103,-0.0000,17.707031
0.335000,1069.534103,-0.0000,17.707031
0.337500,1069.534103,-0.0000,17.707031
0.340000,1069.534103,-0.0000,17.707031
0.342500,1069.534103,-0.0000,17.707031
0.345000,1069.534103,-0.0000,17.707031
0.347500,1069.534103,-0.0000,17.707031
0.350000,1069.534103,-0.0000,17.707031
0.352500,1069.534103,-0.0000,17.707031
0.355000,1069.534103,-0.0000,17.707031
0.357500,1069.534103,-0.0000,17.707031
0.360000,1069.534103,-0.0000,17.707031
0.362500,1069.534103,-0.0000,17.707031
0.365000,1069.534103,-0.0000,17.707031
0.367500,1069.534103,-0.0000,17.707031
0.370000,1069.534103,-0.0000,17.707031
0.372500,1069.534103,-0.0000,17.707031
0.375000,1069.534103,-0.0000,17.707031
0.377500,1069.534103,-0.0000,17.707031
0.380000,1069.534103,-0.0000,17.707031
0.382500,1069.534103,-0.0000,17.707031
0.385000,1069.534103,-0.0000,17.707031
0.387500,1069.534103,-0.0000,17.707031
0.390000,1069.534103,-0.0000,17.707031
0.392500,1069.534103,-0.0000,17.707031
0.395000,1069.534103,-0.0000,17.707031
0.397500,1069.534103,-0.0000,17.707031
0.400000,1069.534103,-0.0000,17.707031
0.402500,1069.534103,-0.0000,17.707031
0.405000,1069.534103,-0.0000,17.707031
0.407500,1069.534103,-0.0000,17.707031
0.410000,1069.534103,-0.0000,17.707031
0.412500,1069.534103,-0.0000,17.707031
0.415000,1069.534103,-0.0000,17.707031
0.417500,1069.534103,-0.0000,17.707031
0.420000,1069.534103,-0.0000,17.707031
0.422500,1069.534103,-0.0000,17.707031
0.425000,1069.534103,-0.0000,17.707031
0.427500,1069.534103,-0.0000,17.707031
0.430000,1069.534103,-0.0000,17.707031
0.432500,1069.534103,-0.0000,17.707031
0.435000,1069.534103,-0.0000,17.707031
0.437500,1069.534103,-0.0000,17.707031
0.440000,1069.534103,-0.0000,17.707031
0.442500,1069.534103,-0.0000,17.707031
0.445000,1069.534103,-0.0000,17.707031
0.447500,1069.534103,-0.0000,17.707031
0.450000,1069.534103,-0.0000,17.707031
0.452500,1069.534103,-0.0000,17.707031
0.455000,1069.534103,-0.0000,17.707031
0.457500,1069.534103,-0.0000,17.707031
0.460000,1069.534103,-0.0000,17.707031
0.462500,1069.534103,-0.0000,17.707031
0.465000,1069.534103,-0.0000,17.707031
0.467500,1069.534103,-0.0000,17.707031
0.470000,1069.534103,-0.0000,17.707031
0.472500,1069.534103,-0.0000,17.707031
0.475000,1069.534103,-0.0000,17.707031
0.477500,1069.534103,-0.0000,17.707031
0.480000,1069.534103,-0.0000,17.707031
0.482500,1069.534103,-0.0000,17.707031
0.485000,1069.534103,-0.0000,17.707031
0.487500,1069.534103,-0.0000,17.707031
0.490000,1069.534103,-0.0000,17.707031
0.492500,1069.534103,-0.0000,17.707031
0.495000,1069.534103,-0.0000,17.707031
0.497500,1069.534103,-0.0000,17.707031
0.500000,46.070038,-0.0000,17.707031
0.502500,46.070038,-0.0000,17.707031
0.505000,46.070038,-0.0000,17.707031
0.507500,46.070038,-0.0000,17.707031
0.510000,46.070038,-0.0000,17.707031
0.512500,46.070038,-0.0000,17.707031
0.515000,46.070038,-0.0000,17.707031
0.517500,46.070038,-0.0000,17.707031
0.520000,46.070038,-0.0000,17.707031
0.522500,46.070038,-0.0000,17.707031
0.525000,46.070038,-0.0000,17.707031
0.527500,46.070038,-0.0000,17.707031
0.530000,46.070038,-0.0000,17.707031
0.532500,46.070038,-0.0000,17.707031
0.535000,46.070038,-0.0000,17.707031
0.537500,46.070038,-0.0000,17.707031
0.540000,46.070038,-0.0000,17.707031
0.542500,46.070038,-0.0000,17.707031
0.545000,46.070038,-0.0000,17.707031
0.547500,46.070038,-0.0000,17.707031
0.550000,46.070038,-0.0000,17.707031
0.552500,46.070038,-0.0000,17.707031
0.555000,46.070038,-0.0000,17.707031
0.557500,46.070038,-0.0000,17.707031
0.560000,46.070038,-0.0000,17.707031
0.562500,46.070038,-0.0000,17.707031
0.565000,46.070038,-0.0000,17.707031
0.567500,46.070038,-0.0000,17.707031
0.570000,46.070038,-0.0000,17.707031
0.572500,46.070038,-0.0000,17.707031
0.575000,46.070038,-0.0000,17.707031
0.577500,46.070038,-0.0000,17.707031
0.580000,46.070038,-0.0000,17.707031
0.582500,46.070038,-0.0000,17.707031
0.585000,46.070038,-0.0000,17.707031
0.587500,46.070038,-0.0000,17.707031
0.590000,46.070038,-0.0000,17.707031
0.592500,46.070038,-0.0000,17.707031
0.595000,46.070038,-0.0000,17.707031
0.597500,46.070038,-0.0000,17.707031
0.600000,46.070038,-0.0000,17.707031
0.602500,46.070038,-0.0000,17.707031
0.605000,46.070038,-0.0000,17.707031
0.607500,46.070038,-0.0000,17.707031
0.610000,46.070038,-0.0000,17.707031
0.612500,46.070038,-0.0000,17.707031
0.615000,46.070038,-0.0000,17.707031
0.617500,46.070038,-0.0000,17.707031
0.620000,46.070038,-0.0000,17.707031
0.622500,46.070038,-0.0000,17.707031
0.625000,46.070038,-0.0000,17.707031
0.627500,46.070038,-0.0000,17.707031
0.630000,46.070038,-0.0000,17.707031
0.632500,46.070038,-0.0000,17.707031
0.635000,46.070038,-0.0000,17.707031
0.637500,46.070038,-0.0000,17.707031
0.640000,46.070038,0.0000,17.707031
0.642500,46.070038,0.0000,17.707031
0.645000,46.070038,0.0000,17.707031
0.647500,46.070038,0.0000,17.707031
0.650000,46.070038,0.0000,17.707031
0.652500,46.070038,0.0000,17.707031
0.655000,46.070038,0.0000,17.707031
0.657500,46.070038,0.0000,17.707031
0.660000,46.070038,0.0000,17.707031
0.662500,46.070038,0.0000,17.707031
0.665000,46.070038,0.0000,17.707031
0.667500,46.070038,0.0000,17.707031
0.670000,46.070038,0.0000,17.707031
0.672500,46.070038,0.0000,17.707031
0.675000,46.070038,0.0000,17.707031
0.677500,46.070038,0.0000,17.707031
0.680000,46.070038,0.0000,17.707031
0.682500,46.070038,0.0000,17.707031
0.685000,46.070038,0.0000,17.707031
0.687500,46.070038,0.0000,17.707031
0.690000,46.070038,0.0000,17.707031
0.692500,46.070038,0.0000,17.707031
0.695000,46.070038,0.0000,17.707031
0.697500,46.070038,0.0000,17.707031
0.700000,46.070038,0.0000,17.707031
0.702500,46.070038,0.0000,17.707031
0.705000,46.070038,0.0000,17.707031
0.707500,46.070038,0.0000,17.707031
0.710000,46.070038,0.0000,17.707031
0.712500,46.070038,0.0000,17.707031
0.715000,46.070038,0.0000,17.707031
0.717500,46.070038,0.0000,17.707031
0.720000,46.070038,0.0000,17.707031
0.722500,46.070038,0.0000,17.707031
0.725000,46.070038,0.0000,17.707031
0.727500,46.070038,0.0000,17.707031
0.730000,46.070038,0.0000,17.707031
0.732500,46.070038,0.0000,17.707031
0.735000,46.070038,0.0000,17.707031
0.737500,46.070038,0.0000,17.707031
0.740000,46.070038,0.0000,17.707031
0.742500,46.070038,0.0000,17.707031
0.745000,46.070038,0.0000,17.707031
0.747500,46.070038,0.0000,17.707031
0.750000,46.070038,0.0000,17.707031
0.752500,46.070038,0.0000,17.707031
0.755000,46.070038,0.0000,17.707031
0.757500,46.070038,0.0000,17.707031
0.760000,46.070038,0.0000,17.707031
0.762500,46.070038,0.0000,17.707031
0.765000,46.070038,0.0000,17.707031
0.767500,46.070038,0.0000,17.707031
0.770000,46.070038,0.0000,17.707031
0.772500,46.070038,0.0000,17.707031
0.775000,46.070038,0.0000,17.707031
0.777500,46.070038,0.0000,17.707031
0.780000,46.070038,0.0000,17.707031
0.782500,46.070038,0.0000,17.707031
0.785000,46.070038,0.0000,17.707031
0.787500,46.070038,0.0000,17.707031
0.790000,46.070038,0.0000,17.707031
0.792500,46.070038,0.0000,17.707031
0.795000,46.070038,0.0000,17.707031
0.797500,46.070038,0.0000,17.707031
0.800000,46.070038,0.0000,17.707031
0.802500,46.070038,0.0000,17.707031
0.805000,46.070038,0.0000,17.707031
0.807500,46.070038,0.0000,17.707031
0.810000,46.070038,0.0000,17.707031
0.812500,46.070038,0.0000,17.707031
0.815000,46.070038,0.0000,17.707031
0.817500,46.070038,0.0000,17.707031
0.820000,46.070038,0.0000,17.707031
0.822500,46.070038,0.0000,17.707031
0.825000,46.070038,0.0000,17.707031
0.827500,46.070038,0.0000,17.707031
0.830000,46.070038,0.0000,17.707031
0.832500,46.070038,0.0000,17.707031
0.835000,46.070038,0.0000,17.707031
0.837500,46.070038,0.0000,17.707031
0.840000,46.070038,0.0000,17.707031
0.842500,46.070038,0.0000,17.707031
0.845000,46.070038,0.0000,17.707031
0.847500,46.070038,0.0000,17.707031
0.850000,46.070038,0.0000,17.707031
0.852500,46.070038,0.0000,17.707031
0.855000,46.070038,0.0000,17.707031
0.857500,46.070038,0.0000,17.707031
0.860000,46.070038,0.0000,17.707031
0.862500,46.070038,0.0000,17.707031
0.865000,46.070038,0.0000,17.707031
0.867500,46.070038,0.0000,17.707031
0.870000,46.070038,0.0000,17.707031
0.872500,46.070038,0.0000,17.707031
0.875000,46.070038,0.0000,17.707031
0.877500,46.070038,0.0000,17.707031
0.880000,46.070038,0.0000,17.707031
0.882500,46.070038,0.0000,17.707031
0.885000,46.070038,0.0000,17.707031
0.887500,46.070038,0.0000,17.707031
0.890000,46.070038,0.0000,17.707031
0.892500,46.070038,0.0000,17.707031
0.895000,46.070038,0.0000,17.707031
0.897500,46.070038,0.0000,17.707031
0.900000,46.070038,0.0000,17.707031
0.902500,46.070038,0.0000,17.707031
0.905000,46.070038,0.0000,17.707031
0.907500,46.070038,0.0000,17.707031
0.910000,46.070038,0.0000,17.707031
