# case=B4-Cross-critical
# t=7.339590e-04 s     P_star=5.223410e+06 Pa   u_star=8.994448e+00 m/s
# S_L_head= -544.990  S_L_tail= -510.666  S_contact=   +8.994  S_R_tail= +272.377  S_R_head= +272.377 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,1005.963554,0.0000,100.000000
0.002500,1005.963554,0.0000,100.000000
0.005000,1005.963554,0.0000,100.000000
0.007500,1005.963554,0.0000,100.000000
0.010000,1005.963554,0.0000,100.000000
0.012500,1005.963554,0.0000,100.000000
0.015000,1005.963554,0.0000,100.000000
0.017500,1005.963554,0.0000,100.000000
0.020000,1005.963554,0.0000,100.000000
0.022500,1005.963554,0.0000,100.000000
0.025000,1005.963554,0.0000,100.000000
0.027500,1005.963554,0.0000,100.000000
0.030000,1005.963554,0.0000,100.000000
0.032500,1005.963554,0.0000,100.000000
0.035000,1005.963554,0.0000,100.000000
0.037500,1005.963554,0.0000,100.000000
0.040000,1005.963554,0.0000,100.000000
0.042500,1005.963554,0.0000,100.000000
0.045000,1005.963554,0.0000,100.000000
0.047500,1005.963554,0.0000,100.000000
0.050000,1005.963554,0.0000,100.000000
0.052500,1005.963554,0.0000,100.000000
0.055000,1005.963554,0.0000,100.000000
0.057500,1005.963554,0.0000,100.000000
0.060000,1005.963554,0.0000,100.000000
0.062500,1005.963554,0.0000,100.000000
0.065000,1005.963554,0.0000,100.000000
0.067500,1005.963554,0.0000,100.000000
0.070000,1005.963554,0.0000,100.000000
0.072500,1005.963554,0.0000,100.000000
0.075000,1005.963554,0.0000,100.000000
0.077500,1005.963554,0.0000,100.000000
0.080000,1005.963554,0.0000,100.000000
0.082500,1005.963554,0.0000,100.000000
0.085000,1005.963554,0.0000,100.000000
0.087500,1005.963554,0.0000,100.000000
0.090000,1005.963554,0.0000,100.000000
0.092500,1005.963554,0.0000,100.000000
0.095000,1005.963554,0.0000,100.000000
0.097500,1005.963554,0.0000,100.000000
0.100000,1005.963554,0.0000,100.000000
0.102500,1004.316806,0.8908,95.131487
0.105000,1002.664308,1.7821,90.291068
0.107500,1001.006051,2.6737,85.478816
0.110000,999.342025,3.5658,80.694797
0.112500,997.672061,4.4582,75.939404
0.115000,995.996601,5.3511,71.211858
0.117500,994.315226,6.2443,66.512731
0.120000,992.628015,7.1378,61.842246
0.122500,990.934982,8.0317,57.200296
0.125000,989.236117,8.9258,52.586947
0.127500,989.105506,8.9944,52.234103
0.130000,989.105506,8.9944,52.234103
0.132500,989.105506,8.9944,52.234103
0.135000,989.105506,8.9944,52.234103
0.137500,989.105506,8.9944,52.234103
0.140000,989.105506,8.9944,52.234103
0.142500,989.105506,8.9944,52.234103
0.145000,989.105506,8.9944,52.234103
0.147500,989.105506,8.9944,52.234103
0.150000,989.105506,8.9944,52.234103
0.152500,989.105506,8.9944,52.234103
0.155000,989.105506,8.9944,52.234103
0.157500,989.105506,8.9944,52.234103
0.160000,989.105506,8.9944,52.234103
0.162500,989.105506,8.9944,52.234103
0.165000,989.105506,8.9944,52.234103
0.167500,989.105506,8.9944,52.234103
0.170000,989.105506,8.9944,52.234103
0.172500,989.105506,8.9944,52.234103
0.175000,989.105506,8.9944,52.234103
0.177500,989.105506,8.9944,52.234103
0.180000,989.105506,8.9944,52.234103
0.182500,989.105506,8.9944,52.234103
0.185000,989.105506,8.9944,52.234103
0.187500,989.105506,8.9944,52.234103
0.190000,989.105506,8.9944,52.234103
0.192500,989.105506,8.9944,52.234103
0.195000,989.105506,8.9944,52.234103
0.197500,989.105506,8.9944,52.234103
0.200000,989.105506,8.9944,52.234103
0.202500,989.105506,8.9944,52.234103
0.205000,989.105506,8.9944,52.234103
0.207500,989.105506,8.9944,52.234103
0.210000,989.105506,8.9944,52.234103
0.212500,989.105506,8.9944,52.234103
0.215000,989.105506,8.9944,52.234103
0.217500,989.105506,8.9944,52.234103
0.220000,989.105506,8.9944,52.234103
0.222500,989.105506,8.9944,52.234103
0.225000,989.105506,8.9944,52.234103
0.227500,989.105506,8.9944,52.234103
0.230000,989.105506,8.9944,52.234103
0.232500,989.105506,8.9944,52.234103
0.235000,989.105506,8.9944,52.234103
0.237500,989.105506,8.9944,52.234103
0.240000,989.105506,8.9944,52.234103
0.242500,989.105506,8.9944,52.234103
0.245000,989.105506,8.9944,52.234103
0.247500,989.105506,8.9944,52.234103
0.250000,989.105506,8.9944,52.234103
0.252500,989.105506,8.9944,52.234103
0.255000,989.105506,8.9944,52.234103
0.257500,989.105506,8.9944,52.234103
0.260000,989.105506,8.9944,52.234103
0.262500,989.105506,8.9944,52.234103
0.265000,989.105506,8.9944,52.234103
0.267500,989.105506,8.9944,52.234103
0.270000,989.105506,8.9944,52.234103
0.272500,989.105506,8.9944,52.234103
0.275000,989.105506,8.9944,52.234103
0.277500,989.105506,8.9944,52.234103
0.280000,989.105506,8.9944,52.234103
0.282500,989.105506,8.9944,52.234103
0.285000,989.105506,8.9944,52.234103
0.287500,989.105506,8.9944,52.234103
0.290000,989.105506,8.9944,52.234103
0.292500,989.105506,8.9944,52.234103
0.295000,989.105506,8.9944,52.234103
0.297500,989.105506,8.9944,52.234103
0.300000,989.105506,8.9944,52.234103
0.302500,989.105506,8.9944,52.234103
0.305000,989.105506,8.9944,52.234103
0.307500,989.105506,8.9944,52.234103
0.310000,989.105506,8.9944,52.234103
0.312500,989.105506,8.9944,52.234103
0.315000,989.105506,8.9944,52.234103
0.317500,989.105506,8.9944,52.234103
0.320000,989.105506,8.9944,52.234103
0.322500,989.105506,8.9944,52.234103
0.325000,989.105506,8.9944,52.234103
0.327500,989.105506,8.9944,52.234103
0.330000,989.105506,8.9944,52.234103
0.332500,989.105506,8.9944,52.234103
0.335000,989.105506,8.9944,52.234103
0.337500,989.105506,8.9944,52.234103
0.340000,989.105506,8.9944,52.234103
0.342500,989.105506,8.9944,52.234103
0.345000,989.105506,8.9944,52.234103
0.347500,989.105506,8.9944,52.234103
0.350000,989.105506,8.9944,52.234103
0.352500,989.105506,8.9944,52.234103
0.355000,989.105506,8.9944,52.234103
0.357500,989.105506,8.9944,52.234103
0.360000,989.105506,8.9944,52.234103
0.362500,989.105506,8.9944,52.234103
0.365000,989.105506,8.9944,52.234103
0.367500,989.105506,8.9944,52.234103
0.370000,989.105506,8.9944,52.234103
0.372500,989.105506,8.9944,52.234103
0.375000,989.105506,8.9944,52.234103
0.377500,989.105506,8.9944,52.234103
0.380000,989.105506,8.9944,52.234103
0.382500,989.105506,8.9944,52.234103
0.385000,989.105506,8.9944,52.234103
0.387500,989.105506,8.9944,52.234103
0.390000,989.105506,8.9944,52.234103
0.392500,989.105506,8.9944,52.234103
0.395000,989.105506,8.9944,52.234103
0.397500,989.105506,8.9944,52.234103
0.400000,989.105506,8.9944,52.234103
0.402500,989.105506,8.9944,52.234103
0.405000,989.105506,8.9944,52.234103
0.407500,989.105506,8.9944,52.234103
0.410000,989.105506,8.9944,52.234103
0.412500,989.105506,8.9944,52.234103
0.415000,989.105506,8.9944,52.234103
0.417500,989.105506,8.9944,52.234103
0.420000,989.105506,8.9944,52.234103
0.422500,989.105506,8.9944,52.234103
0.425000,989.105506,8.9944,52.234103
0.427500,989.105506,8.9944,52.234103
0.430000,989.105506,8.9944,52.234103
0.432500,989.105506,8.9944,52.234103
0.435000,989.105506,8.9944,52.234103
0.437500,989.105506,8.9944,52.234103
0.440000,989.105506,8.9944,52.234103
0.442500,989.105506,8.9944,52.234103
0.445000,989.105506,8.9944,52.234103
0.447500,989.105506,8.9944,52.234103
0.450000,989.105506,8.9944,52.234103
0.452500,989.105506,8.9944,52.234103
0.455000,989.105506,8.9944,52.234103
0.457500,989.105506,8.9944,52.234103
0.460000,989.105506,8.9944,52.234103
0.462500,989.105506,8.9944,52.234103
0.465000,989.105506,8.9944,52.234103
0.467500,989.105506,8.9944,52.234103
0.470000,989.105506,8.9944,52.234103
0.472500,989.105506,8.9944,52.234103
0.475000,989.105506,8.9944,52.234103
0.477500,989.105506,8.9944,52.234103
0.480000,989.105506,8.9944,52.234103
0.482500,989.105506,8.9944,52.234103
0.485000,989.105506,8.9944,52.234103
0.487500,989.105506,8.9944,52.234103
0.490000,989.105506,8.9944,52.234103
0.492500,989.105506,8.9944,52.234103
0.495000,989.105506,8.9944,52.234103
0.497500,989.105506,8.9944,52.234103
0.500000,989.105506,8.9944,52.234103
0.502500,989.105506,8.9944,52.234103
0.505000,989.105506,8.9944,52.234103
0.507500,94.306678,8.9944,52.234103
0.510000,94.306678,8.9944,52.234103
0.512500,94.306678,8.9944,52.234103
0.515000,94.306678,8.9944,52.234103
0.517500,94.306678,8.9944,52.234103
0.520000,94.306678,8.9944,52.234103
0.522500,94.306678,8.9944,52.234103
0.525000,94.306678,8.9944,52.234103
0.527500,94.306678,8.9944,52.234103
0.530000,94.306678,8.9944,52.234103
0.532500,94.306678,8.9944,52.234103
0.535000,94.306678,8.9944,52.234103
0.537500,94.306678,8.9944,52.234103
0.540000,94.306678,8.9944,52.234103
0.542500,94.306678,8.9944,52.234103
0.545000,94.306678,8.9944,52.234103
0.547500,94.306678,8.9944,52.234103
0.550000,94.306678,8.9944,52.234103
0.552500,94.306678,8.9944,52.234103
0.555000,94.306678,8.9944,52.234103
0.557500,94.306678,8.9944,52.234103
0.560000,94.306678,8.9944,52.234103
0.562500,94.306678,8.9944,52.234103
0.565000,94.306678,8.9944,52.234103
0.567500,94.306678,8.9944,52.234103
0.570000,94.306678,8.9944,52.234103
0.572500,94.306678,8.9944,52.234103
0.575000,94.306678,8.9944,52.234103
0.577500,94.306678,8.9944,52.234103
0.580000,94.306678,8.9944,52.234103
0.582500,94.306678,8.9944,52.234103
0.585000,94.306678,8.9944,52.234103
0.587500,94.306678,8.9944,52.234103
0.590000,94.306678,8.9944,52.234103
0.592500,94.306678,8.9944,52.234103
0.595000,94.306678,8.9944,52.234103
0.597500,94.306678,8.9944,52.234103
0.600000,94.306678,8.9944,52.234103
0.602500,94.306678,8.9944,52.234103
0.605000,94.306678,8.9944,52.234103
0.607500,94.306678,8.9944,52.234103
0.610000,94.306678,8.9944,52.234103
0.612500,94.306678,8.9944,52.234103
0.615000,94.306678,8.9944,52.234103
0.617500,94.306678,8.9944,52.234103
0.620000,94.306678,8.9944,52.234103
0.622500,94.306678,8.9944,52.234103
0.625000,94.306678,8.9944,52.234103
0.627500,94.306678,8.9944,52.234103
0.630000,94.306678,8.9944,52.234103
0.632500,94.306678,8.9944,52.234103
0.635000,94.306678,8.9944,52.234103
0.637500,94.306678,8.9944,52.234103
0.640000,94.306678,8.9944,52.234103
0.642500,94.306678,8.9944,52.234103
0.645000,94.306678,8.9944,52.234103
0.647500,94.306678,8.9944,52.234103
0.650000,94.306678,8.9944,52.234103
0.652500,94.306678,8.9944,52.234103
0.655000,94.306678,8.9944,52.234103
0.657500,94.306678,8.9944,52.234103
0.660000,94.306678,8.9944,52.234103
0.662500,94.306678,8.9944,52.234103
0.665000,94.306678,8.9944,52.234103
0.667500,94.306678,8.9944,52.234103
0.670000,94.306678,8.9944,52.234103
0.672500,94.306678,8.9944,52.234103
0.675000,94.306678,8.9944,52.234103
0.677500,94.306678,8.9944,52.234103
0.680000,94.306678,8.9944,52.234103
0.682500,94.306678,8.9944,52.234103
0.685000,94.306678,8.9944,52.234103
0.687500,94.306678,8.9944,52.234103
0.690000,94.306678,8.9944,52.234103
0.692500,94.306678,8.9944,52.234103
0.695000,94.306678,8.9944,52.234103
0.697500,94.306678,8.9944,52.234103
0.700000,91.192480,0.0000,50.000000
0.702500,91.192480,0.0000,50.000000
0.705000,91.192480,0.0000,50.000000
0.707500,91.192480,0.0000,50.000000
0.710000,91.192480,0.0000,50.000000
0.712500,91.192480,0.0000,50.000000
0.715000,91.192480,0.0000,50.000000
0.717500,91.192480,0.0000,50.000000
0.720000,91.192480,0.0000,50.000000
0.722500,91.192480,0.0000,50.000000
0.725000,91.192480,0.0000,50.000000
0.727500,91.192480,0.0000,50.000000
0.730000,91.192480,0.0000,50.000000
0.732500,91.192480,0.0000,50.000000
