# case=B5-Both-2P
# t=2.466938e-03 s     P_star=2.730790e+06 Pa   u_star=2.130906e+01 m/s
# S_L_head=  -97.144  S_L_tail=  -81.529  S_contact=  +21.309  S_R_tail= +172.324  S_R_head= +172.324 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,241.211255,0.0000,31.930626
0.002500,241.211255,0.0000,31.930626
0.005000,241.211255,0.0000,31.930626
0.007500,241.211255,0.0000,31.930626
0.010000,241.211255,0.0000,31.930626
0.012500,241.211255,0.0000,31.930626
0.015000,241.211255,0.0000,31.930626
0.017500,241.211255,0.0000,31.930626
0.020000,241.211255,0.0000,31.930626
0.022500,241.211255,0.0000,31.930626
0.025000,241.211255,0.0000,31.930626
0.027500,241.211255,0.0000,31.930626
0.030000,241.211255,0.0000,31.930626
0.032500,241.211255,0.0000,31.930626
0.035000,241.211255,0.0000,31.930626
0.037500,241.211255,0.0000,31.930626
0.040000,241.211255,0.0000,31.930626
0.042500,241.211255,0.0000,31.930626
0.045000,241.211255,0.0000,31.930626
0.047500,241.211255,0.0000,31.930626
0.050000,241.211255,0.0000,31.930626
0.052500,241.211255,0.0000,31.930626
0.055000,241.211255,0.0000,31.930626
0.057500,241.211255,0.0000,31.930626
0.060000,241.211255,0.0000,31.930626
0.062500,241.211255,0.0000,31.930626
0.065000,241.211255,0.0000,31.930626
0.067500,241.211255,0.0000,31.930626
0.070000,241.211255,0.0000,31.930626
0.072500,241.211255,0.0000,31.930626
0.075000,241.211255,0.0000,31.930626
0.077500,241.211255,0.0000,31.930626
0.080000,241.211255,0.0000,31.930626
0.082500,241.211255,0.0000,31.930626
0.085000,241.211255,0.0000,31.930626
0.087500,241.211255,0.0000,31.930626
0.090000,241.211255,0.0000,31.930626
0.092500,241.211255,0.0000,31.930626
0.095000,241.211255,0.0000,31.930626
0.097500,241.211255,0.0000,31.930626
0.100000,241.211255,0.0000,31.930626
0.102500,241.211255,0.0000,31.930626
0.105000,241.211255,0.0000,31.930626
0.107500,241.211255,0.0000,31.930626
0.110000,241.211255,0.0000,31.930626
0.112500,241.211255,0.0000,31.930626
0.115000,241.211255,0.0000,31.930626
0.117500,241.211255,0.0000,31.930626
0.120000,241.211255,0.0000,31.930626
0.122500,241.211255,0.0000,31.930626
0.125000,241.211255,0.0000,31.930626
0.127500,241.211255,0.0000,31.930626
0.130000,241.211255,0.0000,31.930626
0.132500,241.211255,0.0000,31.930626
0.135000,241.211255,0.0000,31.930626
0.137500,241.211255,0.0000,31.930626
0.140000,241.211255,0.0000,31.930626
0.142500,241.211255,0.0000,31.930626
0.145000,241.211255,0.0000,31.930626
0.147500,241.211255,0.0000,31.930626
0.150000,241.211255,0.0000,31.930626
0.152500,241.211255,0.0000,31.930626
0.155000,241.211255,0.0000,31.930626
0.157500,241.211255,0.0000,31.930626
0.160000,241.211255,0.0000,31.930626
0.162500,241.211255,0.0000,31.930626
0.165000,241.211255,0.0000,31.930626
0.167500,241.211255,0.0000,31.930626
0.170000,241.211255,0.0000,31.930626
0.172500,241.211255,0.0000,31.930626
0.175000,241.211255,0.0000,31.930626
0.177500,241.211255,0.0000,31.930626
0.180000,241.211255,0.0000,31.930626
0.182500,241.211255,0.0000,31.930626
0.185000,241.211255,0.0000,31.930626
0.187500,241.211255,0.0000,31.930626
0.190000,241.211255,0.0000,31.930626
0.192500,241.211255,0.0000,31.930626
0.195000,241.211255,0.0000,31.930626
0.197500,241.211255,0.0000,31.930626
0.200000,241.211255,0.0000,31.930626
0.202500,241.211255,0.0000,31.930626
0.205000,241.211255,0.0000,31.930626
0.207500,241.211255,0.0000,31.930626
0.210000,241.211255,0.0000,31.930626
0.212500,241.211255,0.0000,31.930626
0.215000,241.211255,0.0000,31.930626
0.217500,241.211255,0.0000,31.930626
0.220000,241.211255,0.0000,31.930626
0.222500,241.211255,0.0000,31.930626
0.225000,241.211255,0.0000,31.930626
0.227500,241.211255,0.0000,31.930626
0.230000,241.211255,0.0000,31.930626
0.232500,241.211255,0.0000,31.930626
0.235000,241.211255,0.0000,31.930626
0.237500,241.211255,0.0000,31.930626
0.240000,241.211255,0.0000,31.930626
0.242500,241.211255,0.0000,31.930626
0.245000,241.211255,0.0000,31.930626
0.247500,241.211255,0.0000,31.930626
0.250000,241.211255,0.0000,31.930626
0.252500,241.211255,0.0000,31.930626
0.255000,241.211255,0.0000,31.930626
0.257500,241.211255,0.0000,31.930626
0.260000,241.211255,0.0000,31.930626
0.262500,238.208933,1.2189,31.646282
0.265000,234.788523,2.6318,31.319850
0.267500,231.442845,4.0396,30.997949
0.270000,228.169487,5.4424,30.680486
0.272500,224.966204,6.8403,30.367372
0.275000,221.830714,8.2333,30.058512
0.277500,218.761000,9.6216,29.753829
0.280000,215.754985,11.0052,29.453231
0.282500,212.810733,12.3843,29.156640
0.285000,209.926447,13.7589,28.863981
0.287500,207.100273,15.1290,28.575171
0.290000,204.330558,16.4949,28.290141
0.292500,201.615622,17.8565,28.008816
0.295000,198.953908,19.2140,27.731126
0.297500,196.343903,20.5673,27.457005
0.300000,194.931482,21.3091,27.307901
0.302500,194.931482,21.3091,27.307901
0.305000,194.931482,21.3091,27.307901
0.307500,194.931482,21.3091,27.307901
0.310000,194.931482,21.3091,27.307901
0.312500,194.931482,21.3091,27.307901
0.315000,194.931482,21.3091,27.307901
0.317500,194.931482,21.3091,27.307901
0.320000,194.931482,21.3091,27.307901
0.322500,194.931482,21.3091,27.307901
0.325000,194.931482,21.3091,27.307901
0.327500,194.931482,21.3091,27.307901
0.330000,194.931482,21.3091,27.307901
0.332500,194.931482,21.3091,27.307901
0.335000,194.931482,21.3091,27.307901
0.337500,194.931482,21.3091,27.307901
0.340000,194.931482,21.3091,27.307901
0.342500,194.931482,21.3091,27.307901
0.345000,194.931482,21.3091,27.307901
0.347500,194.931482,21.3091,27.307901
0.350000,194.931482,21.3091,27.307901
0.352500,194.931482,21.3091,27.307901
0.355000,194.931482,21.3091,27.307901
0.357500,194.931482,21.3091,27.307901
0.360000,194.931482,21.3091,27.307901
0.362500,194.931482,21.3091,27.307901
0.365000,194.931482,21.3091,27.307901
0.367500,194.931482,21.3091,27.307901
0.370000,194.931482,21.3091,27.307901
0.372500,194.931482,21.3091,27.307901
0.375000,194.931482,21.3091,27.307901
0.377500,194.931482,21.3091,27.307901
0.380000,194.931482,21.3091,27.307901
0.382500,194.931482,21.3091,27.307901
0.385000,194.931482,21.3091,27.307901
0.387500,194.931482,21.3091,27.307901
0.390000,194.931482,21.3091,27.307901
0.392500,194.931482,21.3091,27.307901
0.395000,194.931482,21.3091,27.307901
0.397500,194.931482,21.3091,27.307901
0.400000,194.931482,21.3091,27.307901
0.402500,194.931482,21.3091,27.307901
0.405000,194.931482,21.3091,27.307901
0.407500,194.931482,21.3091,27.307901
0.410000,194.931482,21.3091,27.307901
0.412500,194.931482,21.3091,27.307901
0.415000,194.931482,21.3091,27.307901
0.417500,194.931482,21.3091,27.307901
0.420000,194.931482,21.3091,27.307901
0.422500,194.931482,21.3091,27.307901
0.425000,194.931482,21.3091,27.307901
0.427500,194.931482,21.3091,27.307901
