# case=B6-Sat-V-shock
# t=1.188220e-03 s     P_star=4.545736e+06 Pa   u_star=6.000000e+01 m/s
# S_L_head= -135.369  S_L_tail= -135.369  S_contact=  +60.000  S_R_tail= +255.369  S_R_head= +255.369 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,88.282080,120.0000,31.930626
0.002500,88.282080,120.0000,31.930626
0.005000,88.282080,120.0000,31.930626
0.007500,88.282080,120.0000,31.930626
0.010000,88.282080,120.0000,31.930626
0.012500,88.282080,120.0000,31.930626
0.015000,88.282080,120.0000,31.930626
0.017500,88.282080,120.0000,31.930626
0.020000,88.282080,120.0000,31.930626
0.022500,88.282080,120.0000,31.930626
0.025000,88.282080,120.0000,31.930626
0.027500,88.282080,120.0000,31.930626
0.030000,88.282080,120.0000,31.930626
0.032500,88.282080,120.0000,31.930626
0.035000,88.282080,120.0000,31.930626
0.037500,88.282080,120.0000,31.930626
0.040000,88.282080,120.0000,31.930626
0.042500,88.282080,120.0000,31.930626
0.045000,88.282080,120.0000,31.930626
0.047500,88.282080,120.0000,31.930626
0.050000,88.282080,120.0000,31.930626
0.052500,88.282080,120.0000,31.930626
0.055000,88.282080,120.0000,31.930626
0.057500,88.282080,120.0000,31.930626
0.060000,88.282080,120.0000,31.930626
0.062500,88.282080,120.0000,31.930626
0.065000,88.282080,120.0000,31.930626
0.067500,88.282080,120.0000,31.930626
0.070000,88.282080,120.0000,31.930626
0.072500,88.282080,120.0000,31.930626
0.075000,88.282080,120.0000,31.930626
0.077500,88.282080,120.0000,31.930626
0.080000,88.282080,120.0000,31.930626
0.082500,88.282080,120.0000,31.930626
0.085000,88.282080,120.0000,31.930626
0.087500,88.282080,120.0000,31.930626
0.090000,88.282080,120.0000,31.930626
0.092500,88.282080,120.0000,31.930626
0.095000,88.282080,120.0000,31.930626
0.097500,88.282080,120.0000,31.930626
0.100000,88.282080,120.0000,31.930626
0.102500,88.282080,120.0000,31.930626
0.105000,88.282080,120.0000,31.930626
0.107500,88.282080,120.0000,31.930626
0.110000,88.282080,120.0000,31.930626
0.112500,88.282080,120.0000,31.930626
0.115000,88.282080,120.0000,31.930626
0.117500,88.282080,120.0000,31.930626
0.120000,88.282080,120.0000,31.930626
0.122500,88.282080,120.0000,31.930626
0.125000,88.282080,120.0000,31.930626
0.127500,88.282080,120.0000,31.930626
0.130000,88.282080,120.0000,31.930626
0.132500,88.282080,120.0000,31.930626
0.135000,88.282080,120.0000,31.930626
0.137500,88.282080,120.0000,31.930626
0.140000,88.282080,120.0000,31.930626
0.142500,88.282080,120.0000,31.930626
0.145000,88.282080,120.0000,31.930626
0.147500,88.282080,120.0000,31.930626
0.150000,88.282080,120.0000,31.930626
0.152500,88.282080,120.0000,31.930626
0.155000,88.282080,120.0000,31.930626
0.157500,88.282080,120.0000,31.930626
0.160000,88.282080,120.0000,31.930626
0.162500,88.282080,120.0000,31.930626
0.165000,88.282080,120.0000,31.930626
0.167500,88.282080,120.0000,31.930626
0.170000,88.282080,120.0000,31.930626
0.172500,88.282080,120.0000,31.930626
0.175000,88.282080,120.0000,31.930626
0.177500,88.282080,120.0000,31.930626
0.180000,88.282080,120.0000,31.930626
0.182500,88.282080,120.0000,31.930626
0.185000,88.282080,120.0000,31.930626
0.187500,88.282080,120.0000,31.930626
0.190000,88.282080,120.0000,31.930626
0.192500,88.282080,120.0000,31.930626
0.195000,88.282080,120.0000,31.930626
0.197500,88.282080,120.0000,31.930626
0.200000,88.282080,120.0000,31.930626
0.202500,88.282080,120.0000,31.930626
0.205000,88.282080,120.0000,31.930626
0.207500,88.282080,120.0000,31.930626
0.210000,88.282080,120.0000,31.930626
0.212500,88.282080,120.0000,31.930626
0.215000,88.282080,120.0000,31.930626
0.217500,88.282080,120.0000,31.930626
0.220000,88.282080,120.0000,31.930626
0.222500,88.282080,120.0000,31.930626
0.225000,88.282080,120.0000,31.930626
0.227500,88.282080,120.0000,31.930626
0.230000,88.282080,120.0000,31.930626
0.232500,88.282080,120.0000,31.930626
0.235000,88.282080,120.0000,31.930626
0.237500,88.282080,120.0000,31.930626
0.240000,88.282080,120.0000,31.930626
0.242500,88.282080,120.0000,31.930626
0.245000,88.282080,120.0000,31.930626
0.247500,88.282080,120.0000,31.930626
0.250000,88.282080,120.0000,31.930626
0.252500,88.282080,120.0000,31.930626
0.255000,88.282080,120.0000,31.930626
0.257500,88.282080,120.0000,31.930626
0.260000,88.282080,120.0000,31.930626
0.262500,88.282080,120.0000,31.930626
0.265000,88.282080,120.0000,31.930626
0.267500,88.282080,120.0000,31.930626
0.270000,88.282080,120.0000,31.930626
0.272500,88.282080,120.0000,31.930626
0.275000,88.282080,120.0000,31.930626
0.277500,88.282080,120.0000,31.930626
0.280000,88.282080,120.0000,31.930626
0.282500,88.282080,120.0000,31.930626
0.285000,88.282080,120.0000,31.930626
0.287500,88.282080,120.0000,31.930626
0.290000,88.282080,120.0000,31.930626
0.292500,88.282080,120.0000,31.930626
0.295000,88.282080,120.0000,31.930626
0.297500,88.282080,120.0000,31.930626
0.300000,88.282080,120.0000,31.930626
0.302500,88.282080,120.0000,31.930626
0.305000,88.282080,120.0000,31.930626
0.307500,88.282080,120.0000,31.930626
0.310000,88.282080,120.0000,31.930626
0.312500,88.282080,120.0000,31.930626
0.315000,88.282080,120.0000,31.930626
0.317500,88.282080,120.0000,31.930626
0.320000,88.282080,120.0000,31.930626
0.322500,88.282080,120.0000,31.930626
0.325000,88.282080,120.0000,31.930626
0.327500,88.282080,120.0000,31.930626
0.330000,88.282080,120.0000,31.930626
0.332500,88.282080,120.0000,31.930626
0.335000,88.282080,120.0000,31.930626
0.337500,88.282080,120.0000,31.930626
0.340000,115.394487,60.0000,45.457357
0.342500,115.394487,60.0000,45.457357
0.345000,115.394487,60.0000,45.457357
0.347500,115.394487,60.0000,45.457357
0.350000,115.394487,60.0000,45.457357
0.352500,115.394487,60.0000,45.457357
0.355000,115.394487,60.0000,45.457357
0.357500,115.394487,60.0000,45.457357
0.360000,115.394487,60.0000,45.457357
0.362500,115.394487,60.0000,45.457357
0.365000,115.394487,60.0000,45.457357
0.367500,115.394487,60.0000,45.457357
0.370000,115.394487,60.0000,45.457357
0.372500,115.394487,60.0000,45.457357
0.375000,115.394487,60.0000,45.457357
0.377500,115.394487,60.0000,45.457357
0.380000,115.394487,60.0000,45.457357
0.382500,115.394487,60.0000,45.457357
0.385000,115.394487,60.0000,45.457357
0.387500,115.394487,60.0000,45.457357
0.390000,115.394487,60.0000,45.457357
0.392500,115.394487,60.0000,45.457357
0.395000,115.394487,60.0000,45.457357
0.397500,115.394487,60.0000,45.457357
0.400000,115.394487,60.0000,45.457357
0.402500,115.394487,60.0000,45.457357
0.405000,115.394487,60.0000,45.457357
0.407500,115.394487,60.0000,45.457357
0.410000,115.394487,60.0000,45.457357
0.412500,115.394487,60.0000,45.457357
0.415000,115.394487,60.0000,45.457357
0.417500,115.394487,60.0000,45.457357
0.420000,115.394487,60.0000,45.457357
0.422500,115.394487,60.0000,45.457357
0.425000,115.394487,60.0000,45.457357
0.427500,115.394487,60.0000,45.457357
0.430000,115.394487,60.0000,45.457357
0.432500,115.394487,60.0000,45.457357
0.435000,115.394487,60.0000,45.457357
0.437500,115.394487,60.0000,45.457357
0.440000,115.394487,60.0000,45.457357
0.442500,115.394487,60.0000,45.457357
0.445000,115.394487,60.0000,45.457357
0.447500,115.394487,60.0000,45.457357
0.450000,115.394487,60.0000,45.457357
0.452500,115.394487,60.0000,45.457357
0.455000,115.394487,60.0000,45.457357
0.457500,115.394487,60.0000,45.457357
0.460000,115.394487,60.0000,45.457357
0.462500,115.394487,60.0000,45.457357
0.465000,115.394487,60.0000,45.457357
0.467500,115.394487,60.0000,45.457357
0.470000,115.394487,60.0000,45.457357
0.472500,115.394487,60.0000,45.457357
0.475000,115.394487,60.0000,45.457357
0.477500,115.394487,60.0000,45.457357
0.480000,115.394487,60.0000,45.457357
0.482500,115.394487,60.0000,45.457357
0.485000,115.394487,60.0000,45.457357
0.487500,115.394487,60.0000,45.457357
0.490000,115.394487,60.0000,45.457357
0.492500,115.394487,60.0000,45.457357
0.495000,115.394487,60.0000,45.457357
0.497500,115.394487,60.0000,45.457357
0.500000,115.394487,60.0000,45.457357
0.502500,115.394487,60.0000,45.457357
0.505000,115.394487,60.0000,45.457357
0.507500,115.394487,60.0000,45.457357
0.510000,115.394487,60.0000,45.457357
0.512500,115.394487,60.0000,45.457357
