# case=B7-Rupture-Sonic
# t=1.251914e-03 s     P_star=4.986550e+05 Pa   u_star=3.943128e+02 m/s
# S_L_head= -319.511  S_L_tail= +254.224  S_contact= +394.313  S_R_tail= +569.940  S_R_head= +569.940 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,621.534596,0.0000,100.000000
0.002500,621.534596,0.0000,100.000000
0.005000,621.534596,0.0000,100.000000
0.007500,621.534596,0.0000,100.000000
0.010000,621.534596,0.0000,100.000000
0.012500,621.534596,0.0000,100.000000
0.015000,621.534596,0.0000,100.000000
0.017500,621.534596,0.0000,100.000000
0.020000,621.534596,0.0000,100.000000
0.022500,621.534596,0.0000,100.000000
0.025000,621.534596,0.0000,100.000000
0.027500,621.534596,0.0000,100.000000
0.030000,621.534596,0.0000,100.000000
0.032500,621.534596,0.0000,100.000000
0.035000,621.534596,0.0000,100.000000
0.037500,621.534596,0.0000,100.000000
0.040000,621.534596,0.0000,100.000000
0.042500,621.534596,0.0000,100.000000
0.045000,621.534596,0.0000,100.000000
0.047500,621.534596,0.0000,100.000000
0.050000,621.534596,0.0000,100.000000
0.052500,621.534596,0.0000,100.000000
0.055000,621.534596,0.0000,100.000000
0.057500,621.534596,0.0000,100.000000
0.060000,621.534596,0.0000,100.000000
0.062500,621.534596,0.0000,100.000000
0.065000,621.534596,0.0000,100.000000
0.067500,621.534596,0.0000,100.000000
0.070000,621.534596,0.0000,100.000000
0.072500,621.534596,0.0000,100.000000
0.075000,621.534596,0.0000,100.000000
0.077500,621.534596,0.0000,100.000000
0.080000,621.534596,0.0000,100.000000
0.082500,621.534596,0.0000,100.000000
0.085000,621.534596,0.0000,100.000000
0.087500,621.534596,0.0000,100.000000
0.090000,621.534596,0.0000,100.000000
0.092500,621.534596,0.0000,100.000000
0.095000,621.534596,0.0000,100.000000
0.097500,621.534596,0.0000,100.000000
0.100000,621.534596,0.0000,100.000000
0.102500,620.041972,0.7668,98.482126
0.105000,618.547518,1.5333,96.974049
0.107500,617.051248,2.2997,95.475814
0.110000,615.553240,3.0659,93.987480
0.112500,614.053359,3.8318,92.508902
0.115000,612.551805,4.5975,91.040260
0.117500,611.048371,5.3630,89.581334
0.120000,609.543267,6.1283,88.132317
0.122500,608.036331,6.8932,86.693032
0.125000,606.527660,7.6579,85.263558
0.127500,605.017266,8.4224,83.843890
0.130000,603.505068,9.1865,82.433932
0.132500,601.991066,9.9503,81.033821
0.135000,600.475589,10.7139,79.643390
0.137500,598.958348,11.4770,78.262803
0.140000,597.439150,12.2400,76.891730
0.142500,595.917679,13.0024,75.530703
0.145000,594.395801,13.7646,74.178991
0.147500,592.871539,14.5265,72.837158
0.150000,592.230542,14.8505,72.276087
0.152500,592.219780,14.8628,72.266509
0.155000,592.208813,14.8751,72.256931
0.157500,592.197812,14.8874,72.247352
0.160000,592.186447,14.8998,72.237774
0.162500,592.175918,14.9121,72.228196
0.165000,592.164945,14.9244,72.218618
0.167500,592.153984,14.9367,72.209040
0.170000,592.143014,14.9490,72.199462
0.172500,592.132047,14.9613,72.189884
0.175000,592.121077,14.9737,72.180306
0.177500,592.110027,14.9860,72.170727
0.180000,216.081777,14.9983,72.161149
0.182500,250.666537,15.0106,72.151571
0.185000,214.059664,15.0229,72.141993
0.187500,209.340070,15.0352,72.132415
0.190000,224.948131,15.0476,72.122837
0.192500,251.081237,15.0599,72.113259
0.195000,227.533040,15.0722,72.103681
0.197500,213.743567,15.0845,72.094102
0.200000,227.699906,15.0968,72.084524
0.202500,208.527763,15.1091,72.074946
0.205000,206.192824,15.1214,72.065368
0.207500,224.537577,15.1338,72.055790
0.210000,224.314248,15.1461,72.046212
0.212500,209.867767,15.1584,72.036634
0.215000,221.978902,15.1707,72.027056
0.217500,230.807769,15.1830,72.017477
0.220000,203.346558,15.1953,72.007899
0.222500,242.104683,15.2077,71.998321
0.225000,206.620405,15.2200,71.988743
0.227500,249.194767,15.2323,71.979165
0.230000,202.710728,15.2446,71.969587
0.232500,245.385130,15.2569,71.960009
0.235000,275.411244,18.2332,70.548441
0.237500,211.589346,18.5087,70.417894
0.240000,206.172119,18.8363,70.260305
0.242500,237.958056,19.2920,70.036230
0.245000,237.173672,19.5316,69.911431
0.247500,200.477023,19.7283,69.806416
0.250000,199.716641,19.9249,69.701401
0.252500,587.329264,22.3557,68.051096
0.255000,586.548918,22.9534,67.390117
0.257500,586.548918,22.9534,67.390117
0.260000,586.548918,22.9534,67.390117
0.262500,586.548918,22.9534,67.390117
0.265000,586.548918,22.9534,67.390117
0.267500,586.548918,22.9534,67.390117
0.270000,586.548918,22.9534,67.390117
0.272500,586.548918,22.9534,67.390117
0.275000,586.548918,22.9534,67.390117
0.277500,586.548918,22.9534,67.390117
0.280000,586.548918,22.9534,67.390117
0.282500,586.548918,22.9534,67.390117
0.285000,586.548918,22.9534,67.390117
0.287500,586.548918,22.9534,67.390117
0.290000,586.548918,22.9534,67.390117
0.292500,586.548918,22.9534,67.390117
0.295000,586.548918,22.9534,67.390117
0.297500,586.548918,22.9534,67.390117
0.300000,586.548918,22.9534,67.390117
0.302500,586.548918,22.9534,67.390117
0.305000,586.548918,22.9534,67.390117
0.307500,586.548918,22.9534,67.390117
0.310000,586.548918,22.9534,67.390117
0.312500,586.548918,22.9534,67.390117
0.315000,586.548918,22.9534,67.390117
0.317500,586.548918,22.9534,67.390117
0.320000,586.548918,22.9534,67.390117
0.322500,586.548918,22.9534,67.390117
0.325000,586.548918,22.9534,67.390117
0.327500,586.548918,22.9534,67.390117
0.330000,586.548918,22.9534,67.390117
0.332500,586.548918,22.9534,67.390117
0.335000,586.548918,22.9534,67.390117
0.337500,586.548918,22.9534,67.390117
0.340000,586.548918,22.9534,67.390117
0.342500,586.548918,22.9534,67.390117
0.345000,586.548918,22.9534,67.390117
0.347500,586.548918,22.9534,67.390117
0.350000,586.548918,22.9534,67.390117
0.352500,586.548918,22.9534,67.390117
0.355000,586.548918,22.9534,67.390117
0.357500,586.548918,22.9534,67.390117
0.360000,586.548918,22.9534,67.390117
0.362500,586.548918,22.9534,67.390117
0.365000,586.548918,22.9534,67.390117
0.367500,586.548918,22.9534,67.390117
0.370000,586.548918,22.9534,67.390117
0.372500,586.548918,22.9534,67.390117
0.375000,586.548918,22.9534,67.390117
0.377500,586.548918,22.9534,67.390117
0.380000,586.548918,22.9534,67.390117
0.382500,586.548918,22.9534,67.390117
0.385000,586.548918,22.9534,67.390117
0.387500,586.548918,22.9534,67.390117
0.390000,586.548918,22.9534,67.390117
0.392500,586.548918,22.9534,67.390117
0.395000,586.548918,22.9534,67.390117
0.397500,586.548918,22.9534,67.390117
0.400000,586.548918,22.9534,67.390117
0.402500,586.548918,22.9534,67.390117
0.405000,586.548918,22.9534,67.390117
0.407500,586.548918,22.9534,67.390117
0.410000,586.548918,22.9534,67.390117
0.412500,586.548918,22.9534,67.390117
0.415000,586.548918,22.9534,67.390117
0.417500,586.548918,22.9534,67.390117
0.420000,586.548918,22.9534,67.390117
0.422500,586.548918,22.9534,67.390117
0.425000,586.548918,22.9534,67.390117
0.427500,586.548918,22.9534,67.390117
0.430000,580.547240,23.7727,67.010727
0.432500,555.663816,27.2966,65.400361
0.435000,532.655667,30.7627,63.855371
0.437500,511.282512,34.1766,62.369166
0.440000,491.409765,37.5393,60.940785
0.442500,472.847095,40.8560,59.563965
0.445000,455.470201,44.1292,58.235944
0.447500,439.168761,47.3613,56.954062
0.450000,423.844456,50.5543,55.715749
0.452500,409.409301,53.7105,54.518517
0.455000,395.784257,56.8320,53.359956
0.457500,382.898038,59.9207,52.237722
0.460000,370.686115,62.9787,51.149530
0.462500,359.125017,66.0050,50.096390
0.465000,348.134619,69.0036,49.073819
0.467500,337.669205,71.9761,48.080029
