# case=C1-Identity
# t=1.145450e-03 s     P_star=3.000000e+06 Pa   u_star=5.000000e+01 m/s
# S_L_head=  +50.000  S_L_tail=  +50.000  S_contact=  +50.000  S_R_tail=  +50.000  S_R_head=  +50.000 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,42.289300,50.0000,30.000000
0.002500,42.289300,50.0000,30.000000
0.005000,42.289300,50.0000,30.000000
0.007500,42.289300,50.0000,30.000000
0.010000,42.289300,50.0000,30.000000
0.012500,42.289300,50.0000,30.000000
0.015000,42.289300,50.0000,30.000000
0.017500,42.289300,50.0000,30.000000
0.020000,42.289300,50.0000,30.000000
0.022500,42.289300,50.0000,30.000000
0.025000,42.289300,50.0000,30.000000
0.027500,42.289300,50.0000,30.000000
0.030000,42.289300,50.0000,30.000000
0.032500,42.289300,50.0000,30.000000
0.035000,42.289300,50.0000,30.000000
0.037500,42.289300,50.0000,30.000000
0.040000,42.289300,50.0000,30.000000
0.042500,42.289300,50.0000,30.000000
0.045000,42.289300,50.0000,30.000000
0.047500,42.289300,50.0000,30.000000
0.050000,42.289300,50.0000,30.000000
0.052500,42.289300,50.0000,30.000000
0.055000,42.289300,50.0000,30.000000
0.057500,42.289300,50.0000,30.000000
0.060000,42.289300,50.0000,30.000000
0.062500,42.289300,50.0000,30.000000
0.065000,42.289300,50.0000,30.000000
0.067500,42.289300,50.0000,30.000000
0.070000,42.289300,50.0000,30.000000
0.072500,42.289300,50.0000,30.000000
0.075000,42.289300,50.0000,30.000000
0.077500,42.289300,50.0000,30.000000
0.080000,42.289300,50.0000,30.000000
0.082500,42.289300,50.0000,30.000000
0.085000,42.289300,50.0000,30.000000
0.087500,42.289300,50.0000,30.000000
0.090000,42.289300,50.0000,30.000000
0.092500,42.289300,50.0000,30.000000
0.095000,42.289300,50.0000,30.000000
0.097500,42.289300,50.0000,30.000000
0.100000,42.289300,50.0000,30.000000
0.102500,42.289300,50.0000,30.000000
0.105000,42.289300,50.0000,30.000000
0.107500,42.289300,50.0000,30.000000
0.110000,42.289300,50.0000,30.000000
0.112500,42.289300,50.0000,30.000000
0.115000,42.289300,50.0000,30.000000
0.117500,42.289300,50.0000,30.000000
0.120000,42.289300,50.0000,30.000000
0.122500,42.289300,50.0000,30.000000
0.125000,42.289300,50.0000,30.000000
0.127500,42.289300,50.0000,30.000000
0.130000,42.289300,50.0000,30.000000
0.132500,42.289300,50.0000,30.000000
0.135000,42.289300,50.0000,30.000000
0.137500,42.289300,50.0000,30.000000
0.140000,42.289300,50.0000,30.000000
0.142500,42.289300,50.0000,30.000000
0.145000,42.289300,50.0000,30.000000
0.147500,42.289300,50.0000,30.000000
0.150000,42.289300,50.0000,30.000000
0.152500,42.289300,50.0000,30.000000
0.155000,42.289300,50.0000,30.000000
0.157500,42.289300,50.0000,30.000000
0.160000,42.289300,50.0000,30.000000
0.162500,42.289300,50.0000,30.000000
0.165000,42.289300,50.0000,30.000000
0.167500,42.289300,50.0000,30.000000
0.170000,42.289300,50.0000,30.000000
0.172500,42.289300,50.0000,30.000000
0.175000,42.289300,50.0000,30.000000
0.177500,42.289300,50.0000,30.000000
0.180000,42.289300,50.0000,30.000000
0.182500,42.289300,50.0000,30.000000
0.185000,42.289300,50.0000,30.000000
0.187500,42.289300,50.0000,30.000000
0.190000,42.289300,50.0000,30.000000
0.192500,42.289300,50.0000,30.000000
0.195000,42.289300,50.0000,30.000000
0.197500,42.289300,50.0000,30.000000
0.200000,42.289300,50.0000,30.000000
0.202500,42.289300,50.0000,30.000000
0.205000,42.289300,50.0000,30.000000
0.207500,42.289300,50.0000,30.000000
0.210000,42.289300,50.0000,30.000000
0.212500,42.289300,50.0000,30.000000
0.215000,42.289300,50.0000,30.000000
0.217500,42.289300,50.0000,30.000000
0.220000,42.289300,50.0000,30.000000
0.222500,42.289300,50.0000,30.000000
0.225000,42.289300,50.0000,30.000000
0.227500,42.289300,50.0000,30.000000
0.230000,42.289300,50.0000,30.000000
0.232500,42.289300,50.0000,30.000000
0.235000,42.289300,50.0000,30.000000
0.237500,42.289300,50.0000,30.000000
0.240000,42.289300,50.0000,30.000000
0.242500,42.289300,50.0000,30.000000
0.245000,42.289300,50.0000,30.000000
0.247500,42.289300,50.0000,30.000000
0.250000,42.289300,50.0000,30.000000
0.252500,42.289300,50.0000,30.000000
0.255000,42.289300,50.0000,30.000000
0.257500,42.289300,50.0000,30.000000
0.260000,42.289300,50.0000,30.000000
0.262500,42.289300,50.0000,30.000000
0.265000,42.289300,50.0000,30.000000
0.267500,42.289300,50.0000,30.000000
0.270000,42.289300,50.0000,30.000000
0.272500,42.289300,50.0000,30.000000
0.275000,42.289300,50.0000,30.000000
