# case=C2-Acoustic-limit
# t=1.336864e-03 s     P_star=3.002498e+06 Pa   u_star=1.974060e-01 m/s
# S_L_head= -299.196  S_L_tail= -298.972  S_contact=   +0.197  S_R_tail= +299.431  S_R_head= +299.431 m/s
x[m],rho[kg/m^3],u[m/s],P[bar]
0.000000,42.364295,0.0000,30.050000
0.002500,42.364295,0.0000,30.050000
0.005000,42.364295,0.0000,30.050000
0.007500,42.364295,0.0000,30.050000
0.010000,42.364295,0.0000,30.050000
0.012500,42.364295,0.0000,30.050000
0.015000,42.364295,0.0000,30.050000
0.017500,42.364295,0.0000,30.050000
0.020000,42.364295,0.0000,30.050000
0.022500,42.364295,0.0000,30.050000
0.025000,42.364295,0.0000,30.050000
0.027500,42.364295,0.0000,30.050000
0.030000,42.364295,0.0000,30.050000
0.032500,42.364295,0.0000,30.050000
0.035000,42.364295,0.0000,30.050000
0.037500,42.364295,0.0000,30.050000
0.040000,42.364295,0.0000,30.050000
0.042500,42.364295,0.0000,30.050000
0.045000,42.364295,0.0000,30.050000
0.047500,42.364295,0.0000,30.050000
0.050000,42.364295,0.0000,30.050000
0.052500,42.364295,0.0000,30.050000
0.055000,42.364295,0.0000,30.050000
0.057500,42.364295,0.0000,30.050000
0.060000,42.364295,0.0000,30.050000
0.062500,42.364295,0.0000,30.050000
0.065000,42.364295,0.0000,30.050000
0.067500,42.364295,0.0000,30.050000
0.070000,42.364295,0.0000,30.050000
0.072500,42.364295,0.0000,30.050000
0.075000,42.364295,0.0000,30.050000
0.077500,42.364295,0.0000,30.050000
0.080000,42.364295,0.0000,30.050000
0.082500,42.364295,0.0000,30.050000
0.085000,42.364295,0.0000,30.050000
0.087500,42.364295,0.0000,30.050000
0.090000,42.364295,0.0000,30.050000
0.092500,42.364295,0.0000,30.050000
0.095000,42.364295,0.0000,30.050000
0.097500,42.364295,0.0000,30.050000
0.100000,42.364295,0.0000,30.050000
0.102500,42.336341,0.1974,30.024978
0.105000,42.336341,0.1974,30.024978
0.107500,42.336341,0.1974,30.024978
0.110000,42.336341,0.1974,30.024978
0.112500,42.336341,0.1974,30.024978
0.115000,42.336341,0.1974,30.024978
0.117500,42.336341,0.1974,30.024978
0.120000,42.336341,0.1974,30.024978
0.122500,42.336341,0.1974,30.024978
0.125000,42.336341,0.1974,30.024978
0.127500,42.336341,0.1974,30.024978
0.130000,42.336341,0.1974,30.024978
0.132500,42.336341,0.1974,30.024978
0.135000,42.336341,0.1974,30.024978
0.137500,42.336341,0.1974,30.024978
0.140000,42.336341,0.1974,30.024978
0.142500,42.336341,0.1974,30.024978
0.145000,42.336341,0.1974,30.024978
0.147500,42.336341,0.1974,30.024978
0.150000,42.336341,0.1974,30.024978
0.152500,42.336341,0.1974,30.024978
0.155000,42.336341,0.1974,30.024978
0.157500,42.336341,0.1974,30.024978
0.160000,42.336341,0.1974,30.024978
0.162500,42.336341,0.1974,30.024978
0.165000,42.336341,0.1974,30.024978
0.167500,42.336341,0.1974,30.024978
0.170000,42.336341,0.1974,30.024978
0.172500,42.336341,0.1974,30.024978
0.175000,42.336341,0.1974,30.024978
0.177500,42.336341,0.1974,30.024978
0.180000,42.336341,0.1974,30.024978
0.182500,42.336341,0.1974,30.024978
0.185000,42.336341,0.1974,30.024978
0.187500,42.336341,0.1974,30.024978
0.190000,42.336341,0.1974,30.024978
0.192500,42.336341,0.1974,30.024978
0.195000,42.336341,0.1974,30.024978
0.197500,42.336341,0.1974,30.024978
0.200000,42.336341,0.1974,30.024978
0.202500,42.336341,0.1974,30.024978
0.205000,42.336341,0.1974,30.024978
0.207500,42.336341,0.1974,30.024978
0.210000,42.336341,0.1974,30.024978
0.212500,42.336341,0.1974,30.024978
0.215000,42.336341,0.1974,30.024978
0.217500,42.336341,0.1974,30.024978
0.220000,42.336341,0.1974,30.024978
0.222500,42.336341,0.1974,30.024978
0.225000,42.336341,0.1974,30.024978
0.227500,42.336341,0.1974,30.024978
0.230000,42.336341,0.1974,30.024978
0.232500,42.336341,0.1974,30.024978
0.235000,42.336341,0.1974,30.024978
0.237500,42.336341,0.1974,30.024978
0.240000,42.336341,0.1974,30.024978
0.242500,42.336341,0.1974,30.024978
0.245000,42.336341,0.1974,30.024978
0.247500,42.336341,0.1974,30.024978
0.250000,42.336341,0.1974,30.024978
0.252500,42.336341,0.1974,30.024978
0.255000,42.336341,0.1974,30.024978
0.257500,42.336341,0.1974,30.024978
0.260000,42.336341,0.1974,30.024978
0.262500,42.336341,0.1974,30.024978
0.265000,42.336341,0.1974,30.024978
0.267500,42.336341,0.1974,30.024978
0.270000,42.336341,0.1974,30.024978
0.272500,42.336341,0.1974,30.024978
0.275000,42.336341,0.1974,30.024978
0.277500,42.336341,0.1974,30.024978
0.280000,42.336341,0.1974,30.024978
0.282500,42.336341,0.1974,30.024978
0.285000,42.336341,0.1974,30.024978
0.287500,42.336341,0.1974,30.024978
0.290000,42.336341,0.1974,30.024978
0.292500,42.336341,0.1974,30.024978
0.295000,42.336341,0.1974,30.024978
0.297500,42.336341,0.1974,30.024978
0.300000,42.336341,0.1974,30.024978
0.302500,42.336341,0.1974,30.024978
0.305000,42.336341,0.1974,30.024978
0.307500,42.336341,0.1974,30.024978
0.310000,42.336341,0.1974,30.024978
0.312500,42.336341,0.1974,30.024978
0.315000,42.336341,0.1974,30.024978
0.317500,42.336341,0.1974,30.024978
0.320000,42.336341,0.1974,30.024978
0.322500,42.336341,0.1974,30.024978
0.325000,42.336341,0.1974,30.024978
0.327500,42.336341,0.1974,30.024978
0.330000,42.336341,0.1974,30.024978
0.332500,42.336341,0.1974,30.024978
0.335000,42.336341,0.1974,30.024978
0.337500,42.336341,0.1974,30.024978
0.340000,42.336341,0.1974,30.024978
0.342500,42.336341,0.1974,30.024978
0.345000,42.336341,0.1974,30.024978
0.347500,42.336341,0.1974,30.024978
0.350000,42.336341,0.1974,30.024978
0.352500,42.336341,0.1974,30.024978
0.355000,42.336341,0.1974,30.024978
0.357500,42.336341,0.1974,30.024978
0.360000,42.336341,0.1974,30.024978
0.362500,42.336341,0.1974,30.024978
0.365000,42.336341,0.1974,30.024978
0.367500,42.336341,0.1974,30.024978
0.370000,42.336341,0.1974,30.024978
0.372500,42.336341,0.1974,30.024978
0.375000,42.336341,0.1974,30.024978
0.377500,42.336341,0.1974,30.024978
0.380000,42.336341,0.1974,30.024978
0.382500,42.336341,0.1974,30.024978
0.385000,42.336341,0.1974,30.024978
0.387500,42.336341,0.1974,30.024978
0.390000,42.336341,0.1974,30.024978
0.392500,42.336341,0.1974,30.024978
0.395000,42.336341,0.1974,30.024978
0.397500,42.336341,0.1974,30.024978
0.400000,42.336341,0.1974,30.024978
0.402500,42.336341,0.1974,30.024978
0.405000,42.336341,0.1974,30.024978
0.407500,42.336341,0.1974,30.024978
0.410000,42.336341,0.1974,30.024978
0.412500,42.336341,0.1974,30.024978
0.415000,42.336341,0.1974,30.024978
0.417500,42.336341,0.1974,30.024978
0.420000,42.336341,0.1974,30.024978
0.422500,42.336341,0.1974,30.024978
0.425000,42.336341,0.1974,30.024978
0.427500,42.336341,0.1974,30.024978
0.430000,42.336341,0.1974,30.024978
0.432500,42.336341,0.1974,30.024978
0.435000,42.336341,0.1974,30.024978
0.437500,42.336341,0.1974,30.024978
0.440000,42.336341,0.1974,30.024978
0.442500,42.336341,0.1974,30.024978
0.445000,42.336341,0.1974,30.024978
0.447500,42.336341,0.1974,30.024978
0.450000,42.336341,0.1974,30.024978
0.452500,42.336341,0.1974,30.024978
0.455000,42.336341,0.1974,30.024978
0.457500,42.336341,0.1974,30.024978
0.460000,42.336341,0.1974,30.024978
0.462500,42.336341,0.1974,30.024978
0.465000,42.336341,0.1974,30.024978
0.467500,42.336341,0.1974,30.024978
0.470000,42.336341,0.1974,30.024978
0.472500,42.336341,0.1974,30.024978
0.475000,42.336341,0.1974,30.024978
0.477500,42.336341,0.1974,30.024978
0.480000,42.336341,0.1974,30.024978
0.482500,42.336341,0.1974,30.024978
0.485000,42.336341,0.1974,30.024978
0.487500,42.336341,0.1974,30.024978
0.490000,42.336341,0.1974,30.024978
0.492500,42.336341,0.1974,30.024978
0.495000,42.336341,0.1974,30.024978
0.497500,42.336341,0.1974,30.024978
0.500000,42.336341,0.1974,30.024978
0.502500,42.317198,0.1974,30.024978
0.505000,42.317198,0.1974,30.024978
