# camr slice from plt00910  t=5.000000e-03 s  y_slice=0.062500  dx=3.9062e-03
x[m],rho[kg/m^3],u[m/s],P[Pa],T[K],alpha_1,alpha1_rho1,alpha2_rho2,alpha1_rho1_E1,alpha2_rho2_E2
1.953125e-03,3.530689e+02,-1.488637e-01,nan,3.015668e+02,8.336227e-01,3.530685e+02,3.530689e-04,1.143279e+07,-1.037979e+05
5.859375e-03,3.511772e+02,6.501419e-01,nan,3.013960e+02,8.291564e-01,3.511769e+02,3.511772e-04,1.133112e+07,-1.093391e+05
9.765625e-03,3.473162e+02,6.288700e+00,nan,2.912198e+02,8.200402e-01,3.473159e+02,3.473162e-04,1.112463e+07,-1.193147e+05
1.367188e-02,3.467000e+02,8.614215e+00,nan,2.909626e+02,8.185854e-01,3.466997e+02,3.467000e-04,1.109121e+07,-1.205872e+05
1.757812e-02,3.502518e+02,1.820218e+00,nan,3.013128e+02,8.269715e-01,3.502515e+02,3.502518e-04,1.127985e+07,-1.119600e+05
2.148438e-02,3.519066e+02,-1.341982e+00,nan,3.014593e+02,8.308785e-01,3.519063e+02,3.519066e-04,1.136736e+07,-1.080148e+05
2.539062e-02,3.505898e+02,1.774220e-01,nan,3.013400e+02,8.277694e-01,3.505894e+02,3.505898e-04,1.129567e+07,-1.119732e+05
2.929688e-02,3.480622e+02,1.977136e+00,nan,2.914875e+02,8.218015e-01,3.480618e+02,3.480622e-04,1.115905e+07,-1.196232e+05
3.320312e-02,3.469729e+02,7.519678e+00,nan,2.910390e+02,8.192296e-01,3.469725e+02,3.469729e-04,1.109937e+07,-1.215367e+05
3.710938e-02,3.485450e+02,7.997423e+00,nan,3.011480e+02,8.229415e-01,3.485447e+02,3.485450e-04,1.118124e+07,-1.168625e+05
4.101562e-02,3.487516e+02,3.123810e+00,nan,3.011664e+02,8.234294e-01,3.487513e+02,3.487516e-04,1.118919e+07,-1.171295e+05
4.492188e-02,3.483242e+02,1.720421e+00,nan,3.011282e+02,8.224202e-01,3.483239e+02,3.483242e-04,1.116364e+07,-1.176154e+05
4.882812e-02,3.477610e+02,1.377248e+00,nan,2.913657e+02,8.210903e-01,3.477606e+02,3.477610e-04,1.113239e+07,-1.181710e+05
5.273438e-02,3.476712e+02,9.777267e-01,nan,2.913559e+02,8.208783e-01,3.476708e+02,3.476712e-04,1.112915e+07,-1.183104e+05
5.664062e-02,3.429744e+02,-4.361053e+00,nan,2.894796e+02,8.097888e-01,3.429740e+02,3.429744e-04,1.088556e+07,-1.340164e+05
6.054688e-02,3.264304e+02,-5.189594e+00,nan,2.990642e+02,7.707273e-01,3.264301e+02,3.264304e-04,1.002755e+07,-1.949300e+05
6.445312e-02,3.104718e+02,9.028798e-01,nan,2.974393e+02,7.330476e-01,3.104714e+02,3.104718e-04,9.205541e+06,-2.576740e+05
6.835938e-02,3.031899e+02,2.261645e+00,nan,2.966647e+02,7.158546e-01,3.031896e+02,3.031899e-04,8.829931e+06,-2.852793e+05
