# runs/wpo2/plt_xlo_00300  t=0.000866669739629422  level0=256x32
density                5aff8074b1f5693b  min=2.1770931563e+02 max=4.2352722240e+02 mean=3.9896146307e+02
xmom                   e8967e7a6aaae1ca  min=0.0000000000e+00 max=2.6786561204e+04 mean=5.1808937229e+03
ymom                   de2f256064a0af79  min=0.0000000000e+00 max=0.0000000000e+00 mean=0.0000000000e+00
rho_E                  f0ef03a1fb88bf4e  min=8.1753423260e+06 max=1.5462040035e+07 mean=1.4460006133e+07
rho_e                  6b61f8b0ddc750aa  min=6.5274572572e+06 max=1.5462040035e+07 mean=1.4255335554e+07
Temp                   11cd9a103e46387e  min=2.8345076103e+02 max=3.2000000000e+02 mean=3.1304796960e+02
alpha_1                7adb07ad192ab2bd  min=5.9785195480e-01 max=9.9999900000e-01 mean=9.7384382184e-01
alpha1_rho1            1d8169a4f905d22e  min=2.0893537081e+02 max=4.2352679888e+02 mean=3.9775043230e+02
alpha2_rho2            3f091d3c7b751e0a  min=3.9012873045e-04 max=9.7404794316e+00 mean=1.2110307745e+00
alpha1_rho1_E1         623663693b7d9eae  min=7.0241937744e+06 max=1.5462024573e+07 mean=1.4315256268e+07
alpha2_rho2_E2         984e1e7133dd603f  min=1.3655372520e+01 max=1.2527715757e+06 mean=1.4474986504e+05
pressure               1bb72564d9867ba8  min=1.0841586422e+06 max=1.0000000000e+07 mean=8.3934346498e+06
x_velocity             437ab8243f7707df  min=0.0000000000e+00 max=1.2303819488e+02 mean=1.6964608312e+01
y_velocity             de2f256064a0af79  min=0.0000000000e+00 max=0.0000000000e+00 mean=0.0000000000e+00
# runs/wpo2/plt_xhi_00300  t=0.000866669739629423  level0=256x32
density                70e6d5f4529048d7  min=2.1770931563e+02 max=4.2352722240e+02 mean=3.9896146307e+02
xmom                   e2a0b84d6dfc6e9c  min=-2.6786561204e+04 max=0.0000000000e+00 mean=-5.1808937229e+03
ymom                   de2f256064a0af79  min=0.0000000000e+00 max=0.0000000000e+00 mean=0.0000000000e+00
rho_E                  dc33cf7ca89b9828  min=8.1753423260e+06 max=1.5462040035e+07 mean=1.4460006133e+07
rho_e                  37d2f703e21adce5  min=6.5274572572e+06 max=1.5462040035e+07 mean=1.4255335554e+07
Temp                   4045621b737e8098  min=2.8345076103e+02 max=3.2000000000e+02 mean=3.1304796960e+02
alpha_1                cdd832088f832120  min=5.9785195480e-01 max=9.9999900000e-01 mean=9.7384382184e-01
alpha1_rho1            ede9c191a513a228  min=2.0893537081e+02 max=4.2352679888e+02 mean=3.9775043230e+02
alpha2_rho2            7da0f8b8a49afdb6  min=3.9012873045e-04 max=9.7404794316e+00 mean=1.2110307745e+00
alpha1_rho1_E1         18377368d839bdb7  min=7.0241937744e+06 max=1.5462024573e+07 mean=1.4315256268e+07
alpha2_rho2_E2         fe2e5267c169399d  min=1.3655372520e+01 max=1.2527715757e+06 mean=1.4474986504e+05
pressure               0dddc6cd5825cdca  min=1.0841586422e+06 max=1.0000000000e+07 mean=8.3934346498e+06
x_velocity             de72295bcf1c366c  min=-1.2303819488e+02 max=0.0000000000e+00 mean=-1.6964608312e+01
